code_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.2
'bali_phy_msa.204.fas', 131.856, 124.89, 1249.569, 1121.953
'bali_phy_msa.205.fas', 131.82, 124.798, 1340.023, 1118.964
'bali_phy_msa.206.fas', 134.709, 128.183, 1398.694, 1177.629
'bali_phy_msa.207.fas', 134.161, 127.472, 1298.325, 1160.149
'bali_phy_msa.208.fas', 135.907, 129.496, 1435.205, 1191.212
'bali_phy_msa.209.fas', 133.033, 126.338, 1306.155, 1148.004
'bali_phy_msa.21.fas', 132.784, 125.775, 1376.709, 1138.056
'bali_phy_msa.210.fas', 135.403, 129.0, 1429.68, 1178.333
'bali_phy_msa.211.fas', 136.355, 130.308, 1490.376, 1214.721
'bali_phy_msa.212.fas', 134.339, 127.873, 1404.313, 1176.35
'bali_phy_msa.213.fas', 132.622, 126.098, 1449.713, 1154.192
'bali_phy_msa.214.fas', 134.499, 127.872, 1464.974, 1177.167
'bali_phy_msa.215.fas', 132.917, 125.849, 1310.004, 1105.499
'bali_phy_msa.216.fas', 134.744, 128.268, 1381.96, 1165.676
'bali_phy_msa.217.fas', 134.197, 127.32, 1341.879, 1141.081
'bali_phy_msa.218.fas', 132.464, 125.768, 1407.198, 1147.35
'bali_phy_msa.219.fas', 135.444, 129.212, 1424.847, 1183.347
'bali_phy_msa.22.fas', 133.163, 126.476, 1432.883, 1121.133
'bali_phy_msa.220.fas', 133.126, 126.312, 1358.561, 1141.022
'bali_phy_msa.221.fas', 132.499, 125.378, 1302.764, 1117.273
'bali_phy_msa.222.fas', 134.546, 128.144, 1424.019, 1180.063
'bali_phy_msa.223.fas', 132.518, 125.67, 1383.375, 1141.155
'bali_phy_msa.224.fas', 135.815, 129.593, 1371.024, 1176.396
'bali_phy_msa.225.fas', 134.223, 127.843, 1412.255, 1179.191
'bali_phy_msa.226.fas', 134.08, 127.398, 1345.984, 1151.52
'bali_phy_msa.227.fas', 135.276, 128.927, 1411.152, 1181.877
'bali_phy_msa.228.fas', 135.052, 128.577, 1485.973, 1183.909
'bali_phy_msa.229.fas', 133.284, 126.433, 1319.282, 1158.719
'bali_phy_msa.23.fas', 134.544, 127.606, 1321.191, 1146.011
'bali_phy_msa.230.fas', 134.218, 127.845, 1406.864, 1153.659
'bali_phy_msa.231.fas', 134.735, 128.328, 1383.937, 1159.072
'bali_phy_msa.232.fas', 132.918, 126.186, 1435.53, 1157.957
'bali_phy_msa.233.fas', 132.957, 126.011, 1295.193, 1126.872
'bali_phy_msa.234.fas', 134.477, 128.464, 1368.76, 1164.72
'bali_phy_msa.235.fas', 133.84, 127.119, 1290.891, 1167.356
'bali_phy_msa.236.fas', 134.706, 128.475, 1511.067, 1206.303
'bali_phy_msa.237.fas', 135.034, 128.746, 1454.67, 1189.426
'bali_phy_msa.238.fas', 131.069, 123.945, 1321.122, 1108.436
'bali_phy_msa.239.fas', 133.199, 126.386, 1227.89, 1154.586
'bali_phy_msa.24.fas', 133.176, 125.995, 1378.459, 1134.84
'bali_phy_msa.240.fas', 131.892, 125.013, 1390.984, 1137.055
'bali_phy_msa.241.fas', 130.793, 124.48, 1391.149, 1161.249
'bali_phy_msa.242.fas', 135.343, 128.827, 1416.906, 1163.696
'bali_phy_msa.243.fas', 134.897, 128.374, 1247.657, 1178.038
'bali_phy_msa.244.fas', 131.969, 124.745, 1376.22, 1119.023
'bali_phy_msa.245.fas', 132.953, 125.98, 1342.003, 1133.392
'bali_phy_msa.246.fas', 135.112, 128.653, 1401.813, 1165.14
'bali_phy_msa.247.fas', 132.914, 126.212, 1316.601, 1155.468
'bali_phy_msa.248.fas', 131.218, 124.073, 1390.324, 1106.773
'bali_phy_msa.249.fas', 133.133, 126.657, 1428.691, 1152.234
'bali_phy_msa.25.fas', 135.767, 129.572, 1412.102, 1192.581
'bali_phy_msa.250.fas', 135.434, 129.019, 1463.125, 1180.031
'bali_phy_msa.251.fas', 134.223, 127.693, 1360.686, 1139.106
'bali_phy_msa.252.fas', 134.556, 127.988, 1361.13, 1157.211
'bali_phy_msa.253.fas', 134.377, 127.547, 1253.199, 1150.956
'bali_phy_msa.254.fas', 131.529, 124.667, 1276.498, 1118.243
'bali_phy_msa.255.fas', 134.831, 128.348, 1349.737, 1154.97
'bali_phy_msa.256.fas', 133.206, 126.435, 1359.352, 1158.113
'bali_phy_msa.257.fas', 134.39, 128.083, 1445.291, 1158.463
'bali_phy_msa.258.fas', 133.554, 126.768, 1458.037, 1167.514
'bali_phy_msa.259.fas', 134.467, 127.794, 1414.016, 1149.732
'bali_phy_msa.26.fas', 134.938, 128.64, 1467.091, 1184.377
'bali_phy_msa.260.fas', 131.648, 124.384, 1336.167, 1115.83
'bali_phy_msa.261.fas', 134.606, 128.084, 1432.303, 1163.587
'bali_phy_msa.262.fas', 133.668, 127.144, 1329.237, 1150.148
'bali_phy_msa.263.fas', 134.855, 128.373, 1340.184, 1162.181
'bali_phy_msa.264.fas', 133.203, 126.378, 1127.732, 1105.958
'bali_phy_msa.265.fas', 135.216, 128.988, 1418.586, 1194.119
'bali_phy_msa.266.fas', 132.981, 126.293, 1348.997, 1157.885
'bali_phy_msa.267.fas', 135.368, 129.052, 1439.085, 1175.49
'bali_phy_msa.268.fas', 133.232, 126.369, 1345.509, 1111.049
'bali_phy_msa.269.fas', 133.68, 127.177, 1383.666, 1157.503
'bali_phy_msa.27.fas', 130.536, 123.29, 1347.106, 1103.778
'bali_phy_msa.270.fas', 133.532, 126.871, 1295.65, 1146.835
'bali_phy_msa.271.fas', 135.944, 129.425, 1328.793, 1182.427
'bali_phy_msa.272.fas', 133.401, 126.619, 1332.394, 1157.612
'bali_phy_msa.273.fas', 133.038, 126.595, 1428.649, 1144.589
'bali_phy_msa.274.fas', 132.555, 126.277, 1452.85, 1165.625
'bali_phy_msa.275.fas', 134.782, 128.415, 1306.135, 1171.231
'bali_phy_msa.276.fas', 134.957, 128.279, 1384.208, 1146.795
'bali_phy_msa.277.fas', 133.356, 125.993, 1286.352, 1113.141
'bali_phy_msa.278.fas', 134.672, 128.546, 1433.014, 1158.378
'bali_phy_msa.279.fas', 134.83, 128.471, 1512.195, 1191.191
'bali_phy_msa.28.fas', 132.09, 125.36, 1343.653, 1159.543
'bali_phy_msa.280.fas', 132.744, 125.862, 1395.739, 1122.711
'bali_phy_msa.281.fas', 134.173, 127.737, 1451.837, 1180.72
'bali_phy_msa.282.fas', 134.344, 127.739, 1273.476, 1153.569
'bali_phy_msa.283.fas', 133.07, 126.187, 1346.221, 1123.75
'bali_phy_msa.284.fas', 134.029, 127.534, 1406.342, 1153.971
'bali_phy_msa.285.fas', 135.453, 128.951, 1350.797, 1163.672
'bali_phy_msa.286.fas', 132.385, 125.34, 1172.891, 1119.944
'bali_phy_msa.287.fas', 135.089, 128.849, 1449.457, 1198.106
'bali_phy_msa.288.fas', 131.884, 124.641, 1250.741, 1093.524
'bali_phy_msa.289.fas', 135.248, 128.644, 1395.75, 1154.583
'bali_phy_msa.29.fas', 134.916, 128.271, 1434.816, 1171.042
'bali_phy_msa.290.fas', 134.107, 127.337, 1294.194, 1125.347
'bali_phy_msa.291.fas', 133.638, 127.067, 1401.72, 1154.117
'bali_phy_msa.292.fas', 135.929, 129.601, 1384.14, 1185.269
'bali_phy_msa.293.fas', 132.822, 126.01, 1397.445, 1151.547
'bali_phy_msa.294.fas', 134.66, 128.067, 1404.679, 1173.371
'bali_phy_msa.295.fas', 131.719, 124.811, 1229.101, 1117.219
'bali_phy_msa.296.fas', 135.027, 128.482, 1386.569, 1167.998
'bali_phy_msa.297.fas', 132.348, 125.458, 1185.636, 1134.471
'bali_phy_msa.298.fas', 135.161, 128.804, 1457.123, 1193.257
'bali_phy_msa.299.fas', 129.39, 122.297, 1281.257, 1094.591
'bali_phy_msa.3.fas', 132.165, 124.749, 1143.42, 1075.242
'bali_phy_msa.30.fas', 133.107, 126.064, 1321.177, 1118.145
'bali_phy_msa.300.fas', 133.001, 125.723, 1297.773, 1118.561
'bali_phy_msa.301.fas', 133.049, 126.39, 1407.731, 1164.815
'bali_phy_msa.302.fas', 133.655, 127.27, 1350.071, 1162.634
'bali_phy_msa.303.fas', 134.67, 128.102, 1341.136, 1167.282
'bali_phy_msa.304.fas', 134.264, 127.944, 1411.495, 1173.375
'bali_phy_msa.305.fas', 135.546, 129.237, 1494.081, 1165.543
'bali_phy_msa.306.fas', 133.828, 127.288, 1419.909, 1152.742
'bali_phy_msa.307.fas', 133.246, 126.23, 1334.554, 1143.329
'bali_phy_msa.308.fas', 132.571, 125.657, 1386.222, 1119.975
'bali_phy_msa.309.fas', 134.072, 127.47, 1398.096, 1176.724
'bali_phy_msa.31.fas', 133.935, 126.982, 1379.086, 1138.169
'bali_phy_msa.310.fas', 135.927, 129.784, 1463.179, 1208.729
'bali_phy_msa.311.fas', 133.359, 126.995, 1325.216, 1165.826
'bali_phy_msa.312.fas', 132.536, 125.248, 1367.521, 1103.386
'bali_phy_msa.313.fas', 135.112, 128.608, 1473.35, 1154.433
'bali_phy_msa.314.fas', 133.126, 126.475, 1315.174, 1118.373
'bali_phy_msa.315.fas', 134.462, 127.908, 1351.919, 1159.093
'bali_phy_msa.316.fas', 135.41, 129.138, 1471.345, 1170.036
'bali_phy_msa.317.fas', 133.849, 127.203, 1344.397, 1158.467
