code_PAM250_GO_-6_GE_-0.5,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_PAM250,sp_match_norm_PAM250,sp_mismatch_PAM250,sp_mismatch_norm_PAM250,sp_PAM250_GO_-6_GE_-0.5,sp_norm_PAM250_GO_-6_GE_-0.5
'bali_phy_msa.156.fas', 33829.0, 0.06, 25287, 0.045, 4980, 0.009, 103689, 0.184, 172782.0, 0.306, -1582, -0.003, 89475.5, 0.158
'bali_phy_msa.157.fas', 33637.0, 0.06, 24708, 0.044, 5301, 0.009, 105231, 0.186, 171100.0, 0.303, -565, -0.001, 86113.5, 0.152
'bali_phy_msa.158.fas', 33567.0, 0.056, 24359, 0.041, 5491, 0.009, 106069, 0.177, 170814.0, 0.285, -609, -0.001, 84224.5, 0.14
'bali_phy_msa.159.fas', 33859.0, 0.06, 25177, 0.044, 5229, 0.009, 103849, 0.183, 173572.0, 0.305, -863, -0.002, 89410.5, 0.157
'bali_phy_msa.16.fas', 33675.0, 0.058, 24479, 0.042, 5335, 0.009, 105613, 0.182, 171549.0, 0.295, 56, 0.0, 86788.5, 0.149
'bali_phy_msa.160.fas', 33873.0, 0.061, 25511, 0.046, 5131, 0.009, 103153, 0.185, 173239.0, 0.311, -2030, -0.004, 88846.5, 0.159
'bali_phy_msa.161.fas', 33693.0, 0.06, 25423, 0.045, 5054, 0.009, 103689, 0.184, 172423.0, 0.306, -938, -0.002, 89316.5, 0.159
'bali_phy_msa.162.fas', 33903.0, 0.061, 25309, 0.045, 5176, 0.009, 103497, 0.185, 173789.0, 0.31, -1200, -0.002, 89784.5, 0.16
'bali_phy_msa.163.fas', 33903.0, 0.059, 24812, 0.043, 5452, 0.009, 104491, 0.181, 173960.0, 0.301, -528, -0.001, 88474.5, 0.153
'bali_phy_msa.164.fas', 33617.0, 0.058, 25095, 0.043, 5234, 0.009, 104497, 0.18, 172178.0, 0.297, -1409, -0.002, 87116.5, 0.15
'bali_phy_msa.165.fas', 33966.0, 0.061, 25397, 0.046, 5044, 0.009, 103195, 0.186, 173889.0, 0.313, -1062, -0.002, 90965.5, 0.164
'bali_phy_msa.166.fas', 33908.0, 0.059, 24626, 0.043, 5485, 0.01, 104853, 0.182, 173663.0, 0.302, -1426, -0.002, 86900.5, 0.151
'bali_phy_msa.167.fas', 33771.0, 0.059, 24829, 0.043, 5523, 0.01, 104721, 0.182, 173673.0, 0.301, -1028, -0.002, 87146.5, 0.151
'bali_phy_msa.168.fas', 33483.0, 0.056, 24357, 0.041, 5342, 0.009, 106241, 0.177, 170673.0, 0.285, 659, 0.001, 86159.5, 0.144
'bali_phy_msa.169.fas', 33102.0, 0.057, 25135, 0.044, 4959, 0.009, 105447, 0.183, 167304.0, 0.291, -1285, -0.002, 83541.5, 0.145
'bali_phy_msa.17.fas', 33537.0, 0.058, 24750, 0.042, 5168, 0.009, 105347, 0.181, 171708.0, 0.294, -583, -0.001, 87443.5, 0.15
'bali_phy_msa.170.fas', 33531.0, 0.058, 24626, 0.042, 5239, 0.009, 105607, 0.182, 170631.0, 0.294, -648, -0.001, 85745.5, 0.148
'bali_phy_msa.171.fas', 33794.0, 0.06, 25478, 0.045, 5045, 0.009, 103377, 0.184, 172946.0, 0.308, -1539, -0.003, 89448.5, 0.159
'bali_phy_msa.172.fas', 33545.0, 0.057, 24958, 0.043, 5161, 0.009, 104915, 0.18, 172121.0, 0.295, -1039, -0.002, 87658.5, 0.15
'bali_phy_msa.173.fas', 33674.0, 0.059, 25181, 0.044, 5017, 0.009, 104211, 0.183, 172376.0, 0.302, -2046, -0.004, 88122.5, 0.154
'bali_phy_msa.174.fas', 33827.0, 0.059, 25244, 0.044, 5135, 0.009, 103779, 0.181, 173225.0, 0.302, -1258, -0.002, 89267.5, 0.155
'bali_phy_msa.175.fas', 33722.0, 0.06, 24959, 0.044, 5577, 0.01, 104559, 0.186, 172877.0, 0.308, -663, -0.001, 86472.5, 0.154
'bali_phy_msa.176.fas', 33715.0, 0.059, 25215, 0.044, 5062, 0.009, 104061, 0.183, 172496.0, 0.303, -1167, -0.002, 88926.5, 0.156
'bali_phy_msa.177.fas', 33506.0, 0.058, 24572, 0.043, 5297, 0.009, 105765, 0.183, 170500.0, 0.296, -233, -0.0, 85602.5, 0.148
'bali_phy_msa.178.fas', 33938.0, 0.06, 25233, 0.045, 5237, 0.009, 103579, 0.183, 173905.0, 0.308, -1474, -0.003, 89219.5, 0.158
'bali_phy_msa.179.fas', 33774.0, 0.061, 25694, 0.046, 5051, 0.009, 102985, 0.185, 172947.0, 0.31, -1214, -0.002, 89934.5, 0.161
'bali_phy_msa.18.fas', 33718.0, 0.06, 25430, 0.046, 5171, 0.009, 103625, 0.186, 172946.0, 0.31, -350, -0.001, 89757.5, 0.161
'bali_phy_msa.180.fas', 33634.0, 0.057, 24439, 0.042, 5507, 0.009, 105775, 0.181, 171114.0, 0.292, 139, 0.0, 85323.5, 0.146
'bali_phy_msa.181.fas', 33814.0, 0.061, 24892, 0.045, 5345, 0.01, 104509, 0.188, 172238.0, 0.31, -461, -0.001, 87452.5, 0.157
'bali_phy_msa.182.fas', 33745.0, 0.059, 25123, 0.044, 5157, 0.009, 104185, 0.183, 173003.0, 0.304, -469, -0.001, 89499.5, 0.157
'bali_phy_msa.183.fas', 33671.0, 0.061, 25637, 0.046, 5254, 0.009, 103305, 0.186, 172898.0, 0.312, -1770, -0.003, 87951.5, 0.158
'bali_phy_msa.184.fas', 33955.0, 0.06, 25047, 0.044, 5163, 0.009, 103917, 0.183, 173936.0, 0.307, -1257, -0.002, 89742.5, 0.158
'bali_phy_msa.185.fas', 33379.0, 0.057, 24445, 0.042, 5141, 0.009, 106273, 0.183, 169825.0, 0.292, -959, -0.002, 84883.5, 0.146
'bali_phy_msa.186.fas', 33662.0, 0.06, 25256, 0.045, 5166, 0.009, 104085, 0.185, 172717.0, 0.307, -1191, -0.002, 88487.5, 0.157
'bali_phy_msa.187.fas', 33899.0, 0.061, 25097, 0.045, 5031, 0.009, 103929, 0.187, 173331.0, 0.312, -1222, -0.002, 89958.5, 0.162
'bali_phy_msa.188.fas', 33791.0, 0.059, 24480, 0.043, 5361, 0.009, 105379, 0.184, 172231.0, 0.301, -245, -0.0, 87130.5, 0.152
'bali_phy_msa.189.fas', 33820.0, 0.061, 25326, 0.045, 5210, 0.009, 103629, 0.186, 173191.0, 0.311, -836, -0.001, 89280.5, 0.16
'bali_phy_msa.19.fas', 33606.0, 0.058, 24560, 0.042, 5504, 0.009, 105589, 0.182, 171202.0, 0.295, -252, -0.0, 85131.5, 0.147
'bali_phy_msa.190.fas', 33741.0, 0.06, 25456, 0.045, 5409, 0.01, 103527, 0.185, 173044.0, 0.309, -940, -0.002, 87886.5, 0.157
'bali_phy_msa.191.fas', 33613.0, 0.06, 25230, 0.045, 5351, 0.009, 104235, 0.185, 172226.0, 0.305, -1189, -0.002, 86813.5, 0.154
'bali_phy_msa.192.fas', 33811.0, 0.06, 25485, 0.045, 5326, 0.009, 103329, 0.183, 172232.0, 0.306, -1062, -0.002, 87549.5, 0.155
'bali_phy_msa.193.fas', 33616.0, 0.059, 25275, 0.045, 5057, 0.009, 104139, 0.184, 172063.0, 0.304, -252, -0.0, 89399.5, 0.158
'bali_phy_msa.194.fas', 33703.0, 0.06, 25539, 0.046, 5250, 0.009, 103437, 0.185, 172517.0, 0.308, -1095, -0.002, 88203.5, 0.158
'bali_phy_msa.195.fas', 33759.0, 0.062, 25341, 0.046, 5116, 0.009, 103721, 0.189, 171514.0, 0.313, -1472, -0.003, 87485.5, 0.16
'bali_phy_msa.196.fas', 33706.0, 0.059, 24800, 0.044, 5223, 0.009, 104909, 0.185, 171206.0, 0.302, -939, -0.002, 86474.5, 0.152
'bali_phy_msa.197.fas', 33959.0, 0.054, 24931, 0.04, 5385, 0.009, 104141, 0.166, 172862.0, 0.276, -140, -0.0, 88341.5, 0.141
'bali_phy_msa.198.fas', 33817.0, 0.06, 25352, 0.045, 4904, 0.009, 103583, 0.183, 172990.0, 0.306, -1406, -0.002, 90368.5, 0.16
'bali_phy_msa.199.fas', 33668.0, 0.058, 24119, 0.042, 5594, 0.01, 106347, 0.184, 172013.0, 0.297, 99, 0.0, 85374.5, 0.147
'bali_phy_msa.2.fas', 33408.0, 0.056, 25124, 0.042, 5123, 0.009, 104857, 0.176, 170960.0, 0.287, -1339, -0.002, 86454.5, 0.145
'bali_phy_msa.20.fas', 33606.0, 0.058, 25019, 0.043, 5161, 0.009, 104671, 0.18, 171937.0, 0.296, -1112, -0.002, 87523.5, 0.151
'bali_phy_msa.200.fas', 33743.0, 0.059, 25137, 0.044, 5290, 0.009, 104161, 0.183, 171176.0, 0.301, -801, -0.001, 86554.5, 0.152
'bali_phy_msa.201.fas', 33789.0, 0.06, 25401, 0.045, 5177, 0.009, 103541, 0.183, 172500.0, 0.304, -2048, -0.004, 87619.5, 0.154
'bali_phy_msa.202.fas', 33549.0, 0.057, 24736, 0.042, 5387, 0.009, 105351, 0.18, 170918.0, 0.291, -560, -0.001, 85360.5, 0.145
'bali_phy_msa.203.fas', 33726.0, 0.059, 25411, 0.045, 5167, 0.009, 103647, 0.182, 173094.0, 0.305, -822, -0.001, 89446.5, 0.157
'bali_phy_msa.204.fas', 33565.0, 0.057, 24829, 0.042, 5247, 0.009, 105133, 0.18, 171656.0, 0.294, -1358, -0.002, 86249.5, 0.148
'bali_phy_msa.205.fas', 33509.0, 0.06, 25834, 0.046, 5142, 0.009, 103235, 0.185, 171489.0, 0.308, -1928, -0.003, 87091.5, 0.156
'bali_phy_msa.206.fas', 33746.0, 0.059, 24622, 0.043, 5507, 0.01, 105185, 0.185, 172242.0, 0.303, -312, -0.001, 86295.5, 0.152
'bali_phy_msa.207.fas', 33221.0, 0.057, 24111, 0.042, 5332, 0.009, 107257, 0.185, 167767.0, 0.29, -426, -0.001, 81720.5, 0.141
'bali_phy_msa.208.fas', 32904.0, 0.056, 23698, 0.04, 5269, 0.009, 108717, 0.185, 166008.0, 0.283, -397, -0.001, 79638.5, 0.136
'bali_phy_msa.209.fas', 33765.0, 0.059, 24438, 0.043, 5270, 0.009, 105515, 0.184, 171687.0, 0.3, -1463, -0.003, 85846.5, 0.15
'bali_phy_msa.21.fas', 33775.0, 0.06, 25472, 0.045, 4991, 0.009, 103427, 0.184, 172971.0, 0.308, -1670, -0.003, 89641.5, 0.16
'bali_phy_msa.210.fas', 33731.0, 0.058, 24866, 0.042, 5013, 0.009, 104727, 0.179, 172711.0, 0.295, -540, -0.001, 89729.5, 0.153
'bali_phy_msa.211.fas', 33658.0, 0.057, 24755, 0.042, 5393, 0.009, 105095, 0.179, 172723.0, 0.294, -1456, -0.002, 86361.5, 0.147
'bali_phy_msa.212.fas', 33600.0, 0.06, 25499, 0.045, 5144, 0.009, 103723, 0.185, 172568.0, 0.308, -820, -0.001, 89022.5, 0.159
'bali_phy_msa.213.fas', 33772.0, 0.059, 24566, 0.043, 5179, 0.009, 105245, 0.183, 171668.0, 0.298, -466, -0.001, 87505.5, 0.152
'bali_phy_msa.214.fas', 33782.0, 0.06, 25301, 0.045, 5167, 0.009, 103755, 0.183, 173018.0, 0.305, -639, -0.001, 89499.5, 0.158
'bali_phy_msa.215.fas', 33582.0, 0.058, 24650, 0.043, 5171, 0.009, 105457, 0.183, 171118.0, 0.297, -774, -0.001, 86589.5, 0.15
'bali_phy_msa.216.fas', 33674.0, 0.059, 24371, 0.042, 5351, 0.009, 105831, 0.184, 171799.0, 0.299, -811, -0.001, 85966.5, 0.15
'bali_phy_msa.217.fas', 33973.0, 0.061, 25409, 0.046, 5009, 0.009, 103157, 0.186, 173942.0, 0.314, -1198, -0.002, 91111.5, 0.165
'bali_phy_msa.218.fas', 33612.0, 0.06, 25447, 0.045, 5148, 0.009, 103803, 0.185, 172420.0, 0.307, -1270, -0.002, 88360.5, 0.157
'bali_phy_msa.219.fas', 33455.0, 0.058, 24695, 0.043, 5319, 0.009, 105621, 0.183, 170338.0, 0.295, -297, -0.001, 85316.5, 0.148
'bali_phy_msa.22.fas', 33812.0, 0.061, 25725, 0.046, 5107, 0.009, 102847, 0.186, 173300.0, 0.313, -1065, -0.002, 90169.5, 0.163
'bali_phy_msa.220.fas', 33629.0, 0.059, 24979, 0.044, 5083, 0.009, 104705, 0.183, 172238.0, 0.302, -745, -0.001, 88642.5, 0.155
'bali_phy_msa.221.fas', 33654.0, 0.059, 25477, 0.045, 4936, 0.009, 103659, 0.181, 172344.0, 0.301, -1590, -0.003, 89308.5, 0.156
'bali_phy_msa.222.fas', 33807.0, 0.059, 25150, 0.044, 5142, 0.009, 104007, 0.183, 173119.0, 0.305, -938, -0.002, 89325.5, 0.157
'bali_phy_msa.223.fas', 33520.0, 0.058, 24476, 0.043, 5592, 0.01, 105929, 0.185, 171584.0, 0.299, -441, -0.001, 84626.5, 0.148
'bali_phy_msa.224.fas', 33744.0, 0.059, 24373, 0.042, 5229, 0.009, 105687, 0.184, 171814.0, 0.298, -110, -0.0, 87486.5, 0.152
'bali_phy_msa.225.fas', 33524.0, 0.057, 23807, 0.04, 5533, 0.009, 107259, 0.182, 170642.0, 0.289, 203, 0.0, 84017.5, 0.142
'bali_phy_msa.226.fas', 33765.0, 0.059, 24831, 0.043, 5084, 0.009, 104729, 0.183, 172611.0, 0.301, -1158, -0.002, 88584.5, 0.155
'bali_phy_msa.227.fas', 33344.0, 0.056, 24232, 0.041, 5601, 0.009, 106769, 0.18, 170284.0, 0.287, -301, -0.001, 82992.5, 0.14
'bali_phy_msa.228.fas', 33542.0, 0.059, 24393, 0.043, 5191, 0.009, 106051, 0.185, 170560.0, 0.298, -340, -0.001, 86048.5, 0.15
'bali_phy_msa.229.fas', 33605.0, 0.058, 25213, 0.044, 5134, 0.009, 104285, 0.181, 171836.0, 0.298, -1038, -0.002, 87851.5, 0.153
'bali_phy_msa.23.fas', 33726.0, 0.06, 24992, 0.044, 5382, 0.01, 104485, 0.185, 172022.0, 0.305, -34, -0.0, 87453.5, 0.155
'bali_phy_msa.230.fas', 33699.0, 0.059, 25311, 0.044, 5041, 0.009, 103901, 0.182, 172675.0, 0.302, -1841, -0.003, 88637.5, 0.155
'bali_phy_msa.231.fas', 33662.0, 0.058, 24764, 0.042, 5311, 0.009, 105069, 0.18, 172534.0, 0.295, -823, -0.001, 87310.5, 0.149
'bali_phy_msa.232.fas', 33682.0, 0.059, 25335, 0.044, 5091, 0.009, 103887, 0.182, 172578.0, 0.302, -1312, -0.002, 88776.5, 0.156
'bali_phy_msa.233.fas', 33513.0, 0.058, 25313, 0.044, 4907, 0.009, 104269, 0.181, 171655.0, 0.299, -1159, -0.002, 88919.5, 0.155
'bali_phy_msa.234.fas', 33734.0, 0.059, 24859, 0.044, 5161, 0.009, 104735, 0.184, 171701.0, 0.301, -577, -0.001, 87790.5, 0.154
'bali_phy_msa.235.fas', 33910.0, 0.06, 25213, 0.045, 5165, 0.009, 103675, 0.184, 173266.0, 0.307, -1364, -0.002, 89074.5, 0.158
'bali_phy_msa.236.fas', 33830.0, 0.06, 24664, 0.044, 5450, 0.01, 104933, 0.186, 173461.0, 0.307, -357, -0.001, 87937.5, 0.156
'bali_phy_msa.237.fas', 33811.0, 0.059, 25049, 0.044, 5317, 0.009, 104201, 0.182, 173805.0, 0.304, -409, -0.001, 89393.5, 0.156
'bali_phy_msa.238.fas', 33707.0, 0.06, 25505, 0.045, 4965, 0.009, 103497, 0.184, 172671.0, 0.308, -1253, -0.002, 89879.5, 0.16
'bali_phy_msa.239.fas', 33673.0, 0.06, 24946, 0.045, 5177, 0.009, 104683, 0.188, 171544.0, 0.308, -553, -0.001, 87587.5, 0.157
'bali_phy_msa.24.fas', 33695.0, 0.06, 25490, 0.045, 5096, 0.009, 103551, 0.183, 172501.0, 0.305, -717, -0.001, 89432.5, 0.158
'bali_phy_msa.240.fas', 33756.0, 0.06, 25629, 0.046, 5084, 0.009, 103151, 0.184, 172174.0, 0.307, -1138, -0.002, 88956.5, 0.159
'bali_phy_msa.241.fas', 33788.0, 0.057, 24290, 0.041, 5316, 0.009, 105765, 0.177, 172182.0, 0.289, -480, -0.001, 86923.5, 0.146
'bali_phy_msa.242.fas', 33858.0, 0.059, 25002, 0.044, 5286, 0.009, 104201, 0.183, 173562.0, 0.305, -1501, -0.003, 88244.5, 0.155
'bali_phy_msa.243.fas', 33799.0, 0.059, 25082, 0.044, 5204, 0.009, 104159, 0.182, 173358.0, 0.303, -1706, -0.003, 88348.5, 0.154
'bali_phy_msa.244.fas', 33902.0, 0.058, 25090, 0.043, 5078, 0.009, 103937, 0.178, 173565.0, 0.297, -592, -0.001, 90536.5, 0.155
'bali_phy_msa.245.fas', 34024.0, 0.061, 25521, 0.046, 5361, 0.01, 102831, 0.186, 174127.0, 0.314, -1305, -0.002, 89240.5, 0.161
