code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.226.fas', 110.085, 99.628, 1071.385, 894.542
'bali_phy_msa.227.fas', 111.147, 100.96, 1125.306, 919.025
'bali_phy_msa.228.fas', 111.259, 101.072, 1197.164, 924.486
'bali_phy_msa.229.fas', 108.935, 98.311, 1040.45, 893.888
'bali_phy_msa.23.fas', 109.964, 99.094, 1042.501, 884.784
'bali_phy_msa.230.fas', 110.188, 100.077, 1121.937, 893.966
'bali_phy_msa.231.fas', 110.741, 100.535, 1103.256, 899.31
'bali_phy_msa.232.fas', 108.664, 98.287, 1143.64, 893.543
'bali_phy_msa.233.fas', 108.072, 97.248, 1016.546, 862.423
'bali_phy_msa.234.fas', 110.403, 100.819, 1088.656, 903.311
'bali_phy_msa.235.fas', 109.906, 99.461, 1020.101, 906.492
'bali_phy_msa.236.fas', 110.704, 100.907, 1217.763, 942.209
'bali_phy_msa.237.fas', 112.084, 102.363, 1178.212, 937.857
'bali_phy_msa.238.fas', 105.334, 94.203, 1025.249, 834.612
'bali_phy_msa.239.fas', 109.18, 98.606, 964.161, 894.011
'bali_phy_msa.24.fas', 108.866, 97.812, 1096.436, 876.968
'bali_phy_msa.240.fas', 107.709, 97.019, 1101.826, 874.109
'bali_phy_msa.241.fas', 107.47, 97.69, 1113.789, 904.924
'bali_phy_msa.242.fas', 111.032, 100.632, 1128.717, 900.7
'bali_phy_msa.243.fas', 110.568, 100.263, 981.133, 914.334
'bali_phy_msa.244.fas', 106.706, 95.363, 1080.756, 849.93
'bali_phy_msa.245.fas', 108.217, 97.292, 1058.087, 870.277
'bali_phy_msa.246.fas', 111.186, 101.015, 1121.907, 908.085
'bali_phy_msa.247.fas', 108.453, 97.848, 1034.756, 888.232
'bali_phy_msa.248.fas', 106.585, 95.554, 1098.434, 843.465
'bali_phy_msa.249.fas', 108.552, 98.271, 1134.163, 885.121
'bali_phy_msa.25.fas', 112.185, 102.322, 1134.331, 934.917
'bali_phy_msa.250.fas', 111.166, 100.904, 1170.984, 915.601
'bali_phy_msa.251.fas', 109.769, 99.403, 1077.339, 876.904
'bali_phy_msa.252.fas', 110.737, 100.489, 1086.985, 900.666
'bali_phy_msa.253.fas', 109.827, 98.997, 980.257, 885.325
'bali_phy_msa.254.fas', 107.287, 96.693, 1002.805, 857.721
'bali_phy_msa.255.fas', 110.618, 100.412, 1072.634, 896.22
'bali_phy_msa.256.fas', 109.56, 99.225, 1085.223, 901.958
'bali_phy_msa.257.fas', 110.29, 100.098, 1156.926, 897.661
'bali_phy_msa.258.fas', 109.969, 99.521, 1172.865, 909.279
'bali_phy_msa.259.fas', 110.083, 99.625, 1125.279, 887.58
'bali_phy_msa.26.fas', 111.161, 101.16, 1180.138, 923.743
'bali_phy_msa.260.fas', 106.181, 94.763, 1042.266, 845.042
'bali_phy_msa.261.fas', 110.164, 99.693, 1142.313, 900.43
'bali_phy_msa.262.fas', 109.577, 99.429, 1055.121, 891.753
'bali_phy_msa.263.fas', 111.403, 101.186, 1071.265, 909.24
'bali_phy_msa.264.fas', 108.013, 97.198, 867.242, 843.982
'bali_phy_msa.265.fas', 111.833, 101.93, 1137.99, 934.019
'bali_phy_msa.266.fas', 109.415, 99.146, 1077.302, 902.773
'bali_phy_msa.267.fas', 111.387, 101.333, 1152.814, 913.814
'bali_phy_msa.268.fas', 108.581, 97.917, 1065.362, 854.191
'bali_phy_msa.269.fas', 109.988, 99.82, 1103.748, 899.162
'bali_phy_msa.27.fas', 104.812, 93.503, 1049.167, 831.31
'bali_phy_msa.270.fas', 108.788, 98.267, 1017.434, 881.227
'bali_phy_msa.271.fas', 112.087, 101.738, 1056.575, 922.539
'bali_phy_msa.272.fas', 109.585, 99.038, 1057.416, 898.264
'bali_phy_msa.273.fas', 107.976, 97.724, 1129.955, 874.681
'bali_phy_msa.274.fas', 109.434, 99.679, 1172.266, 911.657
'bali_phy_msa.275.fas', 111.085, 100.984, 1035.976, 911.61
'bali_phy_msa.276.fas', 110.57, 99.976, 1102.368, 887.811
'bali_phy_msa.277.fas', 107.566, 95.971, 997.331, 841.983
'bali_phy_msa.278.fas', 109.945, 100.008, 1138.978, 892.795
'bali_phy_msa.279.fas', 111.647, 101.768, 1227.016, 935.292
'bali_phy_msa.28.fas', 108.405, 98.098, 1065.913, 897.973
'bali_phy_msa.280.fas', 106.842, 95.788, 1088.097, 845.727
'bali_phy_msa.281.fas', 110.22, 100.106, 1164.263, 917.923
'bali_phy_msa.282.fas', 109.214, 98.554, 991.983, 882.214
'bali_phy_msa.283.fas', 108.373, 97.634, 1063.466, 863.233
'bali_phy_msa.284.fas', 110.185, 99.979, 1126.342, 897.502
'bali_phy_msa.285.fas', 110.586, 100.062, 1064.003, 895.415
'bali_phy_msa.286.fas', 107.587, 96.561, 905.539, 854.651
'bali_phy_msa.287.fas', 111.756, 101.962, 1169.436, 940.458
'bali_phy_msa.288.fas', 105.942, 94.554, 965.54, 824.329
'bali_phy_msa.289.fas', 110.858, 100.347, 1114.85, 896.429
'bali_phy_msa.29.fas', 110.852, 100.422, 1147.018, 909.292
'bali_phy_msa.290.fas', 109.018, 98.205, 1013.363, 860.37
'bali_phy_msa.291.fas', 108.92, 98.533, 1107.843, 885.651
'bali_phy_msa.292.fas', 112.44, 102.477, 1110.844, 929.286
'bali_phy_msa.293.fas', 107.879, 97.265, 1101.499, 881.208
'bali_phy_msa.294.fas', 110.842, 100.442, 1122.458, 912.867
'bali_phy_msa.295.fas', 106.424, 95.571, 951.852, 848.883
'bali_phy_msa.296.fas', 111.497, 101.295, 1112.169, 913.943
'bali_phy_msa.297.fas', 108.612, 98.046, 928.177, 877.662
'bali_phy_msa.298.fas', 112.073, 102.103, 1179.239, 938.806
'bali_phy_msa.299.fas', 104.125, 93.173, 997.072, 828.982
'bali_phy_msa.3.fas', 106.822, 95.16, 875.857, 811.006
'bali_phy_msa.30.fas', 107.766, 96.597, 1033.457, 850.744
'bali_phy_msa.300.fas', 107.457, 96.031, 1010.429, 849.193
'bali_phy_msa.301.fas', 109.523, 99.356, 1125.961, 905.969
'bali_phy_msa.302.fas', 109.436, 99.318, 1069.748, 899.384
'bali_phy_msa.303.fas', 111.265, 100.981, 1072.587, 913.079
'bali_phy_msa.304.fas', 109.746, 99.551, 1120.417, 905.703
'bali_phy_msa.305.fas', 110.824, 100.604, 1193.85, 898.988
'bali_phy_msa.306.fas', 108.258, 97.755, 1118.437, 879.021
'bali_phy_msa.307.fas', 108.649, 97.74, 1053.077, 879.391
'bali_phy_msa.308.fas', 108.052, 97.286, 1099.05, 859.777
'bali_phy_msa.309.fas', 110.129, 99.776, 1116.378, 915.26
'bali_phy_msa.31.fas', 108.651, 97.66, 1084.967, 867.66
'bali_phy_msa.310.fas', 112.482, 102.754, 1178.472, 948.768
'bali_phy_msa.311.fas', 109.676, 99.81, 1054.696, 908.357
'bali_phy_msa.312.fas', 107.151, 95.742, 1073.987, 838.632
'bali_phy_msa.313.fas', 110.917, 100.691, 1182.983, 895.273
'bali_phy_msa.314.fas', 108.023, 97.467, 1030.561, 852.224
'bali_phy_msa.315.fas', 110.896, 100.762, 1081.439, 905.28
'bali_phy_msa.316.fas', 110.658, 100.481, 1173.035, 902.046
'bali_phy_msa.317.fas', 109.711, 99.219, 1066.185, 897.361
'bali_phy_msa.318.fas', 111.159, 101.255, 1158.288, 914.586
'bali_phy_msa.319.fas', 111.175, 101.191, 1110.874, 919.284
'bali_phy_msa.32.fas', 106.865, 95.622, 948.211, 854.087
'bali_phy_msa.320.fas', 113.292, 103.286, 1169.594, 952.324
'bali_phy_msa.321.fas', 110.513, 99.794, 996.836, 913.178
'bali_phy_msa.322.fas', 110.903, 101.009, 1177.553, 937.099
'bali_phy_msa.323.fas', 108.842, 97.985, 1096.408, 882.106
