code_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1
'bali_phy_msa.248.fas', -7.806, -3.225, -9.636, -10.953
'bali_phy_msa.249.fas', -9.742, -5.839, -11.128, -13.834
'bali_phy_msa.25.fas', -8.21, -3.718, -8.983, -12.265
'bali_phy_msa.250.fas', -12.675, -9.586, -13.003, -17.872
'bali_phy_msa.251.fas', -8.818, -4.645, -12.869, -13.47
'bali_phy_msa.252.fas', -9.021, -4.98, -9.415, -12.992
'bali_phy_msa.253.fas', -11.286, -7.409, -12.582, -16.039
'bali_phy_msa.254.fas', -17.027, -14.894, -18.765, -21.444
'bali_phy_msa.255.fas', -14.718, -11.298, -15.143, -18.679
'bali_phy_msa.256.fas', -11.677, -8.307, -11.913, -16.651
'bali_phy_msa.257.fas', -10.58, -6.623, -9.525, -15.046
'bali_phy_msa.258.fas', -11.705, -8.233, -11.603, -16.403
'bali_phy_msa.259.fas', -11.866, -8.175, -12.348, -15.881
'bali_phy_msa.26.fas', -9.218, -5.373, -9.395, -13.662
'bali_phy_msa.260.fas', -9.754, -5.641, -12.849, -12.926
'bali_phy_msa.261.fas', -9.897, -6.356, -10.53, -14.81
'bali_phy_msa.262.fas', -9.983, -6.311, -12.023, -15.022
'bali_phy_msa.263.fas', -9.529, -5.164, -11.942, -14.17
'bali_phy_msa.264.fas', -9.97, -5.907, -11.69, -14.07
'bali_phy_msa.265.fas', -9.324, -4.882, -11.817, -13.249
'bali_phy_msa.266.fas', -9.033, -4.957, -9.247, -13.156
'bali_phy_msa.267.fas', -7.929, -3.181, -8.595, -11.683
'bali_phy_msa.268.fas', -11.748, -8.262, -14.625, -15.561
'bali_phy_msa.269.fas', -10.143, -6.127, -12.435, -14.804
'bali_phy_msa.27.fas', -9.021, -4.908, -10.364, -12.958
'bali_phy_msa.270.fas', -14.708, -11.788, -15.624, -20.322
'bali_phy_msa.271.fas', -21.426, -19.904, -20.123, -25.948
'bali_phy_msa.272.fas', -10.031, -6.024, -10.869, -12.965
'bali_phy_msa.273.fas', -10.08, -6.021, -11.144, -14.11
'bali_phy_msa.274.fas', -10.138, -6.621, -10.663, -14.757
'bali_phy_msa.275.fas', -8.546, -4.437, -10.501, -12.559
'bali_phy_msa.276.fas', -8.366, -4.324, -9.701, -13.005
'bali_phy_msa.277.fas', -13.735, -10.858, -14.02, -18.199
'bali_phy_msa.278.fas', -9.738, -5.415, -11.02, -12.574
'bali_phy_msa.279.fas', -10.909, -7.258, -11.521, -14.382
'bali_phy_msa.28.fas', -8.872, -4.871, -9.611, -13.163
'bali_phy_msa.280.fas', -11.713, -8.159, -9.212, -16.547
'bali_phy_msa.281.fas', -8.811, -4.727, -9.702, -12.524
'bali_phy_msa.282.fas', -10.78, -7.081, -11.854, -14.702
'bali_phy_msa.283.fas', -11.6, -8.026, -12.618, -15.386
'bali_phy_msa.284.fas', -9.931, -6.181, -10.483, -14.312
'bali_phy_msa.285.fas', -11.232, -7.409, -11.913, -15.508
'bali_phy_msa.286.fas', -11.024, -7.305, -13.048, -15.043
'bali_phy_msa.287.fas', -7.61, -3.386, -9.222, -11.975
'bali_phy_msa.288.fas', -11.273, -7.697, -12.243, -15.241
'bali_phy_msa.289.fas', -12.406, -9.02, -13.128, -16.5
'bali_phy_msa.29.fas', -9.767, -5.752, -10.567, -14.107
'bali_phy_msa.290.fas', -9.789, -6.006, -9.954, -13.899
'bali_phy_msa.291.fas', -11.148, -7.285, -14.519, -15.992
'bali_phy_msa.292.fas', -10.86, -7.405, -10.669, -15.05
'bali_phy_msa.293.fas', -10.691, -6.934, -11.887, -14.735
'bali_phy_msa.294.fas', -10.431, -6.53, -10.384, -14.582
'bali_phy_msa.295.fas', -8.485, -4.197, -9.125, -12.555
'bali_phy_msa.296.fas', -10.676, -6.806, -12.736, -15.248
'bali_phy_msa.297.fas', -9.815, -5.747, -10.282, -13.834
'bali_phy_msa.298.fas', -10.852, -7.112, -10.152, -13.997
'bali_phy_msa.299.fas', -10.534, -6.766, -10.624, -14.951
'bali_phy_msa.3.fas', -11.108, -7.55, -12.223, -15.391
'bali_phy_msa.30.fas', -8.851, -4.836, -10.239, -13.81
'bali_phy_msa.300.fas', -11.175, -7.698, -11.74, -15.396
'bali_phy_msa.301.fas', -11.933, -8.701, -13.56, -16.202
'bali_phy_msa.302.fas', -10.128, -6.234, -10.515, -14.384
'bali_phy_msa.303.fas', -10.689, -6.697, -8.348, -16.267
'bali_phy_msa.304.fas', -12.459, -8.813, -13.093, -16.679
