code_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2
'bali_phy_msa.211.fas', 152.884, 147.605, 1679.557, 1379.179
'bali_phy_msa.212.fas', 151.845, 146.243, 1596.366, 1347.377
'bali_phy_msa.213.fas', 150.55, 144.919, 1654.874, 1330.224
'bali_phy_msa.214.fas', 151.932, 146.197, 1664.248, 1349.505
'bali_phy_msa.215.fas', 149.718, 143.432, 1485.902, 1263.481
'bali_phy_msa.216.fas', 151.739, 146.136, 1568.478, 1332.326
'bali_phy_msa.217.fas', 151.615, 145.645, 1527.92, 1308.316
'bali_phy_msa.218.fas', 150.365, 144.555, 1606.406, 1321.448
'bali_phy_msa.219.fas', 152.714, 147.231, 1615.509, 1352.177
'bali_phy_msa.22.fas', 150.655, 144.801, 1631.153, 1289.891
'bali_phy_msa.220.fas', 151.124, 145.289, 1553.798, 1314.934
'bali_phy_msa.221.fas', 150.515, 144.396, 1492.922, 1290.125
'bali_phy_msa.222.fas', 151.845, 146.366, 1616.656, 1349.983
'bali_phy_msa.223.fas', 150.24, 144.337, 1578.969, 1313.755
'bali_phy_msa.224.fas', 152.809, 147.387, 1552.685, 1340.784
'bali_phy_msa.225.fas', 151.995, 146.506, 1610.159, 1354.956
'bali_phy_msa.226.fas', 151.268, 145.467, 1529.416, 1317.443
'bali_phy_msa.227.fas', 152.357, 146.812, 1598.932, 1348.598
'bali_phy_msa.228.fas', 152.404, 146.79, 1684.659, 1354.391
'bali_phy_msa.229.fas', 150.861, 144.957, 1505.837, 1330.895
'bali_phy_msa.23.fas', 151.552, 145.514, 1499.864, 1308.695
'bali_phy_msa.230.fas', 151.781, 146.254, 1601.609, 1324.122
'bali_phy_msa.231.fas', 152.148, 146.639, 1574.361, 1328.936
'bali_phy_msa.232.fas', 150.723, 144.922, 1637.147, 1332.881
'bali_phy_msa.233.fas', 150.914, 144.953, 1482.811, 1299.402
'bali_phy_msa.234.fas', 151.914, 146.649, 1557.049, 1334.537
'bali_phy_msa.235.fas', 151.242, 145.407, 1472.755, 1338.804
'bali_phy_msa.236.fas', 151.621, 146.151, 1705.851, 1373.654
'bali_phy_msa.237.fas', 152.161, 146.737, 1647.793, 1358.062
'bali_phy_msa.238.fas', 149.323, 143.172, 1516.884, 1283.41
'bali_phy_msa.239.fas', 150.799, 144.874, 1404.755, 1325.876
'bali_phy_msa.24.fas', 150.592, 144.378, 1568.052, 1301.186
