code_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1
'bali_phy_msa.233.fas', 91.283, 80.173, 848.072, 710.881
'bali_phy_msa.234.fas', 93.565, 83.628, 912.709, 748.183
'bali_phy_msa.235.fas', 92.771, 81.965, 848.399, 747.221
'bali_phy_msa.236.fas', 93.945, 83.83, 1028.31, 783.64
'bali_phy_msa.237.fas', 94.647, 84.522, 987.383, 774.855
'bali_phy_msa.238.fas', 89.233, 77.903, 858.888, 689.744
'bali_phy_msa.239.fas', 92.089, 81.191, 799.932, 736.722
'bali_phy_msa.24.fas', 91.654, 80.261, 914.224, 720.699
'bali_phy_msa.240.fas', 90.681, 79.652, 917.601, 716.775
'bali_phy_msa.241.fas', 90.349, 80.231, 928.013, 743.489
'bali_phy_msa.242.fas', 94.146, 83.456, 948.118, 746.393
'bali_phy_msa.243.fas', 93.541, 82.921, 816.784, 756.59
'bali_phy_msa.244.fas', 90.049, 78.493, 903.926, 699.515
'bali_phy_msa.245.fas', 91.363, 80.161, 883.938, 717.323
'bali_phy_msa.246.fas', 94.099, 83.589, 940.097, 750.985
'bali_phy_msa.247.fas', 91.539, 80.651, 861.832, 731.242
'bali_phy_msa.248.fas', 89.658, 78.342, 916.492, 691.121
'bali_phy_msa.249.fas', 91.881, 81.325, 952.32, 731.693
'bali_phy_msa.25.fas', 95.194, 85.004, 954.282, 777.039
'bali_phy_msa.250.fas', 94.387, 83.913, 986.994, 760.5
'bali_phy_msa.251.fas', 92.884, 82.259, 902.085, 724.12
'bali_phy_msa.252.fas', 93.678, 83.114, 909.858, 744.995
'bali_phy_msa.253.fas', 92.802, 81.701, 814.75, 729.903
'bali_phy_msa.254.fas', 90.226, 79.307, 831.653, 702.806
'bali_phy_msa.255.fas', 93.73, 83.212, 898.841, 742.712
'bali_phy_msa.256.fas', 92.296, 81.605, 904.436, 742.455
'bali_phy_msa.257.fas', 93.167, 82.733, 970.41, 740.931
'bali_phy_msa.258.fas', 92.81, 82.04, 982.519, 749.927
'bali_phy_msa.259.fas', 93.321, 82.56, 945.396, 735.3
'bali_phy_msa.26.fas', 94.13, 83.829, 991.927, 765.142
'bali_phy_msa.260.fas', 89.642, 78.0, 869.921, 695.569
'bali_phy_msa.261.fas', 93.201, 82.463, 958.728, 744.688
'bali_phy_msa.262.fas', 92.508, 82.024, 880.429, 735.574
'bali_phy_msa.263.fas', 93.948, 83.397, 892.152, 748.501
'bali_phy_msa.264.fas', 91.261, 80.191, 717.684, 695.767
'bali_phy_msa.265.fas', 94.666, 84.441, 953.521, 773.187
'bali_phy_msa.266.fas', 92.303, 81.687, 899.07, 744.566
'bali_phy_msa.267.fas', 94.315, 83.948, 967.888, 756.234
'bali_phy_msa.268.fas', 91.497, 80.507, 887.961, 701.856
'bali_phy_msa.269.fas', 92.863, 82.356, 922.568, 741.914
'bali_phy_msa.27.fas', 88.417, 76.884, 876.504, 683.938
'bali_phy_msa.270.fas', 92.036, 81.242, 849.727, 728.363
'bali_phy_msa.271.fas', 94.899, 84.261, 882.907, 763.837
'bali_phy_msa.272.fas', 92.42, 81.569, 880.748, 739.908
'bali_phy_msa.273.fas', 91.492, 80.984, 950.253, 723.957
'bali_phy_msa.274.fas', 92.198, 82.033, 980.148, 750.014
'bali_phy_msa.275.fas', 93.826, 83.403, 862.3, 751.081
'bali_phy_msa.276.fas', 93.852, 82.98, 927.678, 737.118
'bali_phy_msa.277.fas', 91.102, 79.299, 833.65, 695.911
'bali_phy_msa.278.fas', 93.392, 83.183, 960.165, 741.711
'bali_phy_msa.279.fas', 94.551, 84.319, 1033.665, 775.352
'bali_phy_msa.28.fas', 91.348, 80.7, 887.077, 738.259
'bali_phy_msa.280.fas', 90.442, 79.148, 912.778, 698.76
'bali_phy_msa.281.fas', 93.5, 83.104, 980.661, 762.299
'bali_phy_msa.282.fas', 92.463, 81.515, 827.385, 729.434
'bali_phy_msa.283.fas', 91.713, 80.716, 891.071, 713.829
'bali_phy_msa.284.fas', 93.081, 82.541, 943.173, 740.746
'bali_phy_msa.285.fas', 94.133, 83.389, 895.006, 744.993
'bali_phy_msa.286.fas', 90.427, 79.11, 745.862, 699.626
'bali_phy_msa.287.fas', 94.916, 84.833, 985.834, 782.494
'bali_phy_msa.288.fas', 89.174, 77.468, 800.25, 675.078
'bali_phy_msa.289.fas', 94.059, 83.28, 937.312, 743.958
'bali_phy_msa.29.fas', 93.999, 83.25, 964.208, 754.154
'bali_phy_msa.290.fas', 92.142, 81.064, 845.541, 709.794
'bali_phy_msa.291.fas', 92.431, 81.78, 930.841, 734.373
'bali_phy_msa.292.fas', 95.366, 85.054, 932.454, 771.656
'bali_phy_msa.293.fas', 91.614, 80.745, 926.807, 731.492
'bali_phy_msa.294.fas', 93.717, 83.014, 939.751, 754.231
'bali_phy_msa.295.fas', 89.89, 78.791, 791.884, 700.065
'bali_phy_msa.296.fas', 94.411, 83.883, 932.233, 756.546
