code,constant_sites_pct,n_unique_sites,entropy_mean,entropy_25_pct,entropy_75_pct,entropy_sum,entropy_max
'bali_phy_msa.152.fas', 0.82, 807, 0.184, 0.0, 0.0, 278.247, 2.602
'bali_phy_msa.153.fas', 0.825, 802, 0.182, 0.0, 0.0, 274.693, 2.602
'bali_phy_msa.154.fas', 0.83, 801, 0.178, 0.0, 0.0, 271.926, 2.602
'bali_phy_msa.155.fas', 0.832, 807, 0.176, 0.0, 0.0, 270.227, 2.583
'bali_phy_msa.156.fas', 0.826, 796, 0.181, 0.0, 0.0, 274.032, 2.602
'bali_phy_msa.157.fas', 0.829, 806, 0.177, 0.0, 0.0, 271.127, 2.602
'bali_phy_msa.158.fas', 0.83, 796, 0.178, 0.0, 0.0, 270.021, 2.602
'bali_phy_msa.159.fas', 0.828, 791, 0.179, 0.0, 0.0, 270.123, 2.594
'bali_phy_msa.16.fas', 0.834, 814, 0.174, 0.0, 0.0, 267.51, 2.602
'bali_phy_msa.160.fas', 0.822, 804, 0.183, 0.0, 0.0, 276.874, 2.588
'bali_phy_msa.161.fas', 0.833, 813, 0.174, 0.0, 0.0, 269.12, 2.602
'bali_phy_msa.162.fas', 0.824, 801, 0.182, 0.0, 0.0, 272.32, 2.568
'bali_phy_msa.163.fas', 0.829, 808, 0.178, 0.0, 0.0, 272.841, 2.602
'bali_phy_msa.164.fas', 0.829, 802, 0.179, 0.0, 0.0, 270.153, 2.583
'bali_phy_msa.165.fas', 0.833, 801, 0.175, 0.0, 0.0, 268.114, 2.602
'bali_phy_msa.166.fas', 0.83, 805, 0.177, 0.0, 0.0, 269.503, 2.574
'bali_phy_msa.167.fas', 0.828, 794, 0.18, 0.0, 0.0, 270.897, 2.602
'bali_phy_msa.168.fas', 0.828, 808, 0.178, 0.0, 0.0, 273.171, 2.61
'bali_phy_msa.169.fas', 0.831, 803, 0.175, 0.0, 0.0, 270.244, 2.575
'bali_phy_msa.17.fas', 0.828, 802, 0.179, 0.0, 0.0, 272.637, 2.602
'bali_phy_msa.170.fas', 0.828, 795, 0.18, 0.0, 0.0, 271.714, 2.575
'bali_phy_msa.171.fas', 0.827, 792, 0.181, 0.0, 0.0, 269.556, 2.596
'bali_phy_msa.172.fas', 0.828, 793, 0.179, 0.0, 0.0, 272.954, 2.614
'bali_phy_msa.173.fas', 0.826, 796, 0.181, 0.0, 0.0, 271.75, 2.575
'bali_phy_msa.174.fas', 0.832, 808, 0.176, 0.0, 0.0, 268.664, 2.602
'bali_phy_msa.175.fas', 0.831, 800, 0.177, 0.0, 0.0, 270.837, 2.596
'bali_phy_msa.176.fas', 0.83, 800, 0.178, 0.0, 0.0, 271.616, 2.594
'bali_phy_msa.177.fas', 0.831, 799, 0.177, 0.0, 0.0, 270.323, 2.64
'bali_phy_msa.178.fas', 0.826, 793, 0.181, 0.0, 0.0, 272.756, 2.602
'bali_phy_msa.179.fas', 0.831, 803, 0.176, 0.0, 0.0, 272.859, 2.583
'bali_phy_msa.18.fas', 0.832, 799, 0.175, 0.0, 0.0, 268.423, 2.61
'bali_phy_msa.180.fas', 0.827, 789, 0.179, 0.0, 0.0, 274.209, 2.583
'bali_phy_msa.181.fas', 0.828, 795, 0.18, 0.0, 0.0, 272.811, 2.602
'bali_phy_msa.182.fas', 0.829, 799, 0.178, 0.0, 0.0, 272.453, 2.602
'bali_phy_msa.183.fas', 0.827, 797, 0.179, 0.0, 0.0, 271.426, 2.604
'bali_phy_msa.184.fas', 0.822, 802, 0.183, 0.0, 0.0, 276.575, 2.575
'bali_phy_msa.185.fas', 0.832, 808, 0.175, 0.0, 0.0, 269.638, 2.575
'bali_phy_msa.186.fas', 0.826, 797, 0.182, 0.0, 0.0, 273.359, 2.592
'bali_phy_msa.187.fas', 0.833, 804, 0.174, 0.0, 0.0, 268.932, 2.602
'bali_phy_msa.188.fas', 0.83, 808, 0.177, 0.0, 0.0, 271.83, 2.594
'bali_phy_msa.189.fas', 0.829, 798, 0.178, 0.0, 0.0, 271.452, 2.601
'bali_phy_msa.19.fas', 0.826, 807, 0.18, 0.0, 0.0, 273.707, 2.602
