code_K5,k_mer_max_K5,k_mer_average_K5,k_mer_95_pct_K5,k_mer_90_pct_K5,kmer_sum_of_top_10_K5
'bali_phy_msa.22.fas', 16261, 6.112, 4, 3, 16632
'bali_phy_msa.220.fas', 16844, 6.513, 4, 3, 17244
'bali_phy_msa.221.fas', 16822, 6.377, 4, 3, 17207
'bali_phy_msa.222.fas', 16622, 6.483, 4, 3, 17017
'bali_phy_msa.223.fas', 16651, 6.457, 4, 3, 17076
'bali_phy_msa.224.fas', 16429, 6.65, 5, 3, 16901
'bali_phy_msa.225.fas', 17148, 6.682, 5, 3, 17619
'bali_phy_msa.226.fas', 16624, 6.453, 4, 3, 17058
'bali_phy_msa.227.fas', 17261, 6.858, 5, 3, 17782
'bali_phy_msa.228.fas', 16640, 6.598, 5, 3, 17077
'bali_phy_msa.229.fas', 16906, 6.474, 4, 3, 17346
'bali_phy_msa.23.fas', 16284, 6.3, 4, 3, 16688
'bali_phy_msa.230.fas', 16809, 6.426, 4, 3, 17198
'bali_phy_msa.231.fas', 17079, 6.599, 4, 3, 17497
'bali_phy_msa.232.fas', 16589, 6.39, 4, 3, 17052
'bali_phy_msa.233.fas', 16751, 6.573, 4, 3, 17233
'bali_phy_msa.234.fas', 16626, 6.419, 4, 3, 17044
'bali_phy_msa.235.fas', 16517, 6.344, 4, 3, 16935
'bali_phy_msa.236.fas', 16415, 6.29, 4, 3, 16896
'bali_phy_msa.237.fas', 16644, 6.409, 4, 3, 17105
'bali_phy_msa.238.fas', 16251, 6.35, 4, 3, 16659
'bali_phy_msa.239.fas', 16198, 6.158, 4, 3, 16589
'bali_phy_msa.24.fas', 16420, 6.359, 4, 3, 16864
'bali_phy_msa.240.fas', 16198, 6.295, 4, 3, 16593
'bali_phy_msa.241.fas', 17617, 6.789, 4, 3, 18026
'bali_phy_msa.242.fas', 16458, 6.46, 4, 3, 16910
'bali_phy_msa.243.fas', 16575, 6.42, 4, 3, 16960
'bali_phy_msa.244.fas', 16973, 6.595, 4, 3, 17421
'bali_phy_msa.245.fas', 15786, 6.303, 5, 3, 16272
'bali_phy_msa.246.fas', 16234, 6.205, 4, 3, 16588
'bali_phy_msa.247.fas', 16522, 6.298, 4, 3, 16959
'bali_phy_msa.248.fas', 16013, 6.128, 4, 3, 16376
'bali_phy_msa.249.fas', 15935, 6.143, 4, 3, 16389
'bali_phy_msa.25.fas', 16439, 6.351, 4, 3, 16839
'bali_phy_msa.250.fas', 16356, 6.495, 4, 3, 16812
'bali_phy_msa.251.fas', 16283, 6.183, 4, 3, 16655
'bali_phy_msa.252.fas', 16617, 6.456, 4, 3, 17016
'bali_phy_msa.253.fas', 17226, 6.677, 4, 3, 17691
'bali_phy_msa.254.fas', 16765, 6.687, 5, 3, 17247
'bali_phy_msa.255.fas', 16431, 6.594, 5, 3, 16937
'bali_phy_msa.256.fas', 16602, 6.49, 5, 3, 17088
'bali_phy_msa.257.fas', 17162, 6.563, 4, 3, 17632
'bali_phy_msa.258.fas', 16321, 6.407, 4, 3, 16793
'bali_phy_msa.259.fas', 17239, 6.883, 5, 3, 17778
'bali_phy_msa.26.fas', 16279, 6.339, 4, 3, 16750
'bali_phy_msa.260.fas', 15941, 6.162, 4, 3, 16325
'bali_phy_msa.261.fas', 17129, 6.538, 4, 3, 17617
'bali_phy_msa.262.fas', 16619, 6.539, 4, 3, 17113
'bali_phy_msa.263.fas', 16218, 6.313, 4, 3, 16605
'bali_phy_msa.264.fas', 16196, 6.144, 4, 3, 16588
'bali_phy_msa.265.fas', 16437, 6.43, 4, 3, 16833
'bali_phy_msa.266.fas', 16005, 6.306, 4, 3, 16432
'bali_phy_msa.267.fas', 16318, 6.241, 4, 3, 16696
'bali_phy_msa.268.fas', 16518, 6.524, 5, 3, 17023
'bali_phy_msa.269.fas', 16639, 6.509, 4, 3, 17070
'bali_phy_msa.27.fas', 16325, 6.29, 4, 3, 16746
'bali_phy_msa.270.fas', 16735, 6.252, 4, 3, 17077
'bali_phy_msa.271.fas', 17200, 6.82, 5, 3, 17670
'bali_phy_msa.272.fas', 16846, 6.559, 4, 3, 17313
'bali_phy_msa.273.fas', 16927, 6.779, 5, 3, 17430
'bali_phy_msa.274.fas', 18047, 6.824, 4, 3, 18489
'bali_phy_msa.275.fas', 16405, 6.382, 4, 3, 16839
'bali_phy_msa.276.fas', 16540, 6.422, 4, 3, 17001
'bali_phy_msa.277.fas', 17381, 6.658, 4, 3, 17802
'bali_phy_msa.278.fas', 16192, 6.238, 4, 3, 16600
'bali_phy_msa.279.fas', 16716, 6.813, 5, 3, 17238
'bali_phy_msa.28.fas', 16762, 6.436, 4, 3, 17219
'bali_phy_msa.280.fas', 16300, 6.133, 4, 3, 16680
'bali_phy_msa.281.fas', 16254, 6.253, 4, 3, 16608
'bali_phy_msa.282.fas', 16991, 6.398, 4, 3, 17441
'bali_phy_msa.283.fas', 17467, 6.758, 4, 3, 17965
'bali_phy_msa.284.fas', 16994, 6.391, 4, 3, 17371
'bali_phy_msa.285.fas', 16835, 6.524, 5, 3, 17271
'bali_phy_msa.286.fas', 16122, 6.507, 5, 3, 16600
'bali_phy_msa.287.fas', 16547, 6.382, 4, 3, 16973
'bali_phy_msa.288.fas', 16729, 6.502, 5, 3, 17189
'bali_phy_msa.289.fas', 17317, 6.573, 4, 3, 17691
'bali_phy_msa.29.fas', 16704, 6.574, 5, 3, 17101
'bali_phy_msa.290.fas', 17327, 6.7, 4, 3, 17722
'bali_phy_msa.291.fas', 16260, 6.25, 4, 3, 16632
'bali_phy_msa.292.fas', 17126, 6.601, 4, 3, 17510
