code_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.2
'bali_phy_msa.243.fas', 168.889, 163.483, 1582.487, 1501.299
'bali_phy_msa.244.fas', 166.441, 160.463, 1748.145, 1439.978
'bali_phy_msa.245.fas', 167.107, 161.24, 1701.463, 1452.799
'bali_phy_msa.246.fas', 169.547, 164.319, 1773.739, 1490.282
'bali_phy_msa.247.fas', 167.48, 161.98, 1677.134, 1485.939
'bali_phy_msa.248.fas', 166.491, 160.636, 1776.586, 1435.571
'bali_phy_msa.249.fas', 167.437, 162.105, 1809.329, 1478.253
'bali_phy_msa.25.fas', 170.018, 164.936, 1781.298, 1519.947
'bali_phy_msa.250.fas', 169.433, 164.123, 1841.808, 1503.825
'bali_phy_msa.251.fas', 168.477, 163.017, 1723.161, 1459.187
'bali_phy_msa.252.fas', 169.44, 164.153, 1730.091, 1485.699
'bali_phy_msa.253.fas', 168.713, 163.065, 1595.258, 1474.43
'bali_phy_msa.254.fas', 166.666, 161.074, 1637.169, 1448.451
'bali_phy_msa.255.fas', 168.605, 163.286, 1703.62, 1470.831
'bali_phy_msa.256.fas', 168.15, 162.713, 1731.634, 1489.968
'bali_phy_msa.257.fas', 168.501, 163.212, 1822.627, 1479.863
'bali_phy_msa.258.fas', 168.606, 163.122, 1852.576, 1503.121
'bali_phy_msa.259.fas', 168.605, 163.141, 1786.724, 1469.659
'bali_phy_msa.26.fas', 169.053, 163.88, 1848.923, 1510.792
'bali_phy_msa.260.fas', 166.727, 160.74, 1708.361, 1443.236
'bali_phy_msa.261.fas', 168.874, 163.465, 1809.133, 1487.187
'bali_phy_msa.262.fas', 168.168, 162.846, 1688.435, 1474.482
'bali_phy_msa.263.fas', 169.378, 164.04, 1700.162, 1488.241
'bali_phy_msa.264.fas', 167.806, 162.081, 1445.007, 1421.506
'bali_phy_msa.265.fas', 169.503, 164.489, 1794.246, 1525.259
'bali_phy_msa.266.fas', 167.637, 162.179, 1716.183, 1487.279
'bali_phy_msa.267.fas', 169.48, 164.279, 1814.792, 1500.162
'bali_phy_msa.268.fas', 167.784, 162.139, 1709.288, 1427.524
'bali_phy_msa.269.fas', 168.42, 163.142, 1757.748, 1486.032
'bali_phy_msa.27.fas', 165.179, 159.115, 1718.02, 1425.361
'bali_phy_msa.270.fas', 167.664, 162.089, 1644.027, 1467.742
'bali_phy_msa.271.fas', 169.344, 163.896, 1672.752, 1499.406
'bali_phy_msa.272.fas', 168.015, 162.473, 1695.812, 1486.797
'bali_phy_msa.273.fas', 167.153, 161.864, 1806.068, 1465.833
'bali_phy_msa.274.fas', 167.864, 162.809, 1851.566, 1505.643
'bali_phy_msa.275.fas', 169.374, 164.147, 1661.308, 1502.184
'bali_phy_msa.276.fas', 168.969, 163.426, 1745.32, 1462.529
'bali_phy_msa.277.fas', 167.406, 161.213, 1632.479, 1425.489
'bali_phy_msa.278.fas', 168.751, 163.652, 1807.076, 1478.973
'bali_phy_msa.279.fas', 169.164, 164.067, 1906.082, 1521.982
'bali_phy_msa.28.fas', 167.08, 161.638, 1718.176, 1497.671
'bali_phy_msa.280.fas', 166.863, 161.134, 1767.684, 1439.468
'bali_phy_msa.281.fas', 168.435, 163.165, 1834.176, 1510.007
'bali_phy_msa.282.fas', 168.101, 162.557, 1612.532, 1470.563
'bali_phy_msa.283.fas', 167.308, 161.593, 1706.924, 1440.39
'bali_phy_msa.284.fas', 168.826, 163.564, 1784.324, 1481.815
'bali_phy_msa.285.fas', 168.975, 163.518, 1702.791, 1480.37
'bali_phy_msa.286.fas', 167.272, 161.425, 1505.642, 1444.545
'bali_phy_msa.287.fas', 169.16, 164.042, 1826.759, 1526.904
'bali_phy_msa.288.fas', 166.303, 160.279, 1596.999, 1408.95
'bali_phy_msa.289.fas', 168.513, 162.929, 1751.525, 1463.799
'bali_phy_msa.29.fas', 168.888, 163.528, 1809.689, 1493.716
'bali_phy_msa.290.fas', 168.254, 162.559, 1640.676, 1439.584
'bali_phy_msa.291.fas', 167.63, 162.24, 1773.295, 1475.938
'bali_phy_msa.292.fas', 170.036, 164.913, 1746.932, 1509.463
'bali_phy_msa.293.fas', 166.624, 161.039, 1766.907, 1472.383
'bali_phy_msa.294.fas', 168.929, 163.505, 1776.202, 1499.953
'bali_phy_msa.295.fas', 166.5, 160.739, 1573.49, 1440.091
'bali_phy_msa.296.fas', 169.612, 164.31, 1757.291, 1495.867
'bali_phy_msa.297.fas', 168.03, 162.524, 1531.331, 1472.496
'bali_phy_msa.298.fas', 169.713, 164.562, 1842.553, 1526.184
'bali_phy_msa.299.fas', 165.642, 159.909, 1655.783, 1430.155
'bali_phy_msa.3.fas', 166.581, 160.361, 1466.433, 1385.877
'bali_phy_msa.30.fas', 167.466, 161.58, 1678.004, 1434.938
'bali_phy_msa.300.fas', 166.831, 160.683, 1643.654, 1430.364
'bali_phy_msa.301.fas', 167.851, 162.541, 1790.009, 1497.974
'bali_phy_msa.302.fas', 168.1, 162.892, 1715.482, 1491.508
'bali_phy_msa.303.fas', 169.21, 163.913, 1702.566, 1494.895
'bali_phy_msa.304.fas', 168.818, 163.53, 1788.155, 1504.277
'bali_phy_msa.305.fas', 169.351, 164.079, 1875.744, 1483.483
'bali_phy_msa.306.fas', 167.502, 162.02, 1788.396, 1468.883
'bali_phy_msa.307.fas', 168.122, 162.411, 1700.891, 1472.847
'bali_phy_msa.308.fas', 167.727, 162.077, 1767.585, 1446.683
'bali_phy_msa.309.fas', 168.705, 163.255, 1773.823, 1508.667
'bali_phy_msa.31.fas', 167.565, 161.703, 1739.089, 1451.491
'bali_phy_msa.310.fas', 169.813, 164.849, 1841.775, 1536.528
'bali_phy_msa.311.fas', 168.072, 162.924, 1686.982, 1497.171
'bali_phy_msa.312.fas', 167.386, 161.371, 1739.285, 1421.354
'bali_phy_msa.313.fas', 169.317, 164.012, 1857.028, 1474.977
'bali_phy_msa.314.fas', 167.059, 161.544, 1666.218, 1431.513
'bali_phy_msa.315.fas', 168.733, 163.394, 1711.574, 1481.455
'bali_phy_msa.316.fas', 168.91, 163.664, 1845.811, 1486.572
'bali_phy_msa.317.fas', 168.282, 162.727, 1705.66, 1483.961
'bali_phy_msa.318.fas', 169.077, 163.924, 1820.142, 1498.083
'bali_phy_msa.319.fas', 169.028, 163.815, 1757.018, 1503.822
'bali_phy_msa.32.fas', 166.852, 160.945, 1569.988, 1449.727
'bali_phy_msa.320.fas', 170.134, 164.925, 1818.84, 1534.069
'bali_phy_msa.321.fas', 168.616, 162.969, 1604.754, 1499.743
'bali_phy_msa.322.fas', 168.448, 163.216, 1841.441, 1524.542
'bali_phy_msa.323.fas', 167.353, 161.572, 1749.214, 1465.245
'bali_phy_msa.324.fas', 168.685, 163.716, 1851.515, 1548.354
'bali_phy_msa.325.fas', 166.758, 161.002, 1607.954, 1448.893
'bali_phy_msa.326.fas', 169.089, 163.412, 1722.934, 1449.093
'bali_phy_msa.327.fas', 168.47, 162.783, 1833.272, 1441.805
'bali_phy_msa.328.fas', 168.979, 163.601, 1677.483, 1490.615
'bali_phy_msa.329.fas', 167.724, 162.584, 1802.503, 1451.774
'bali_phy_msa.33.fas', 166.066, 160.138, 1628.91, 1445.085
'bali_phy_msa.330.fas', 168.868, 163.666, 1844.253, 1518.697
'bali_phy_msa.331.fas', 169.497, 164.192, 1754.326, 1496.105
'bali_phy_msa.332.fas', 165.778, 160.037, 1745.743, 1448.848
'bali_phy_msa.333.fas', 169.28, 164.051, 1631.53, 1514.406
'bali_phy_msa.334.fas', 168.052, 162.962, 1772.218, 1509.422
'bali_phy_msa.335.fas', 169.675, 164.66, 1786.574, 1528.697
'bali_phy_msa.336.fas', 168.983, 163.66, 1756.209, 1482.16
'bali_phy_msa.337.fas', 167.688, 162.443, 1775.247, 1508.915
'bali_phy_msa.338.fas', 169.082, 164.105, 1811.296, 1522.493
'bali_phy_msa.339.fas', 169.177, 164.021, 1750.082, 1500.865
'bali_phy_msa.34.fas', 168.022, 162.246, 1703.326, 1460.782
'bali_phy_msa.340.fas', 167.542, 161.866, 1678.885, 1420.098
'bali_phy_msa.341.fas', 167.66, 161.744, 1635.82, 1434.591
'bali_phy_msa.342.fas', 168.098, 162.652, 1724.141, 1455.879
'bali_phy_msa.343.fas', 168.654, 163.189, 1778.678, 1487.449
'bali_phy_msa.344.fas', 167.972, 162.406, 1704.855, 1480.338
'bali_phy_msa.345.fas', 168.466, 163.321, 1560.7, 1522.19
'bali_phy_msa.346.fas', 167.482, 161.959, 1866.289, 1484.327
'bali_phy_msa.347.fas', 168.029, 162.501, 1620.514, 1475.074
'bali_phy_msa.348.fas', 168.478, 163.208, 1885.105, 1519.34
'bali_phy_msa.349.fas', 167.415, 161.68, 1655.781, 1458.865
'bali_phy_msa.35.fas', 169.766, 164.837, 1748.931, 1544.014
'bali_phy_msa.350.fas', 169.087, 163.906, 1727.995, 1504.946
'bali_phy_msa.351.fas', 168.283, 162.929, 1736.122, 1468.5
'bali_phy_msa.352.fas', 167.463, 162.004, 1792.18, 1464.991
'bali_phy_msa.353.fas', 169.806, 164.674, 1827.788, 1505.265
'bali_phy_msa.354.fas', 168.131, 162.884, 1639.64, 1453.139
'bali_phy_msa.355.fas', 168.722, 163.267, 1736.968, 1469.889
'bali_phy_msa.356.fas', 168.605, 163.429, 1764.29, 1467.92
'bali_phy_msa.357.fas', 168.582, 162.82, 1677.727, 1443.987
'bali_phy_msa.358.fas', 166.944, 160.859, 1578.538, 1421.157
'bali_phy_msa.359.fas', 169.036, 163.72, 1797.938, 1487.885
'bali_phy_msa.36.fas', 167.928, 162.765, 1663.889, 1476.277
'bali_phy_msa.360.fas', 169.122, 163.967, 1710.598, 1498.076
'bali_phy_msa.361.fas', 167.773, 162.325, 1634.561, 1478.322
'bali_phy_msa.362.fas', 168.994, 163.648, 1706.397, 1469.465
'bali_phy_msa.363.fas', 168.113, 162.553, 1711.999, 1428.465
'bali_phy_msa.364.fas', 168.116, 162.527, 1633.142, 1452.136
'bali_phy_msa.365.fas', 169.078, 163.952, 1755.919, 1482.977
'bali_phy_msa.366.fas', 166.746, 160.882, 1582.068, 1395.223
'bali_phy_msa.367.fas', 168.328, 163.139, 2033.04, 1514.489
'bali_phy_msa.368.fas', 169.564, 164.483, 1781.649, 1507.859
'bali_phy_msa.369.fas', 167.538, 161.798, 1567.75, 1446.085
'bali_phy_msa.37.fas', 169.466, 164.213, 1622.705, 1508.706
'bali_phy_msa.370.fas', 169.634, 164.715, 1873.142, 1526.612
'bali_phy_msa.371.fas', 168.439, 163.211, 1904.165, 1495.16
'bali_phy_msa.372.fas', 165.419, 159.253, 1587.386, 1422.671
'bali_phy_msa.373.fas', 168.803, 163.431, 1756.654, 1470.803
'bali_phy_msa.374.fas', 167.397, 161.586, 1716.266, 1460.806
