code_BLOSUM62_GO_-10_GE_-0.2,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2
'MUSCLE_diversified_replicate.none.20.afa', 33587.0, 0.068, 28648, 0.058, 4785, 0.01, 97451, 0.196, 182174.0, 0.366, -16133, -0.032, 98700.8, 0.198
'MUSCLE_diversified_replicate.none.200.afa', 33505.0, 0.053, 28729, 0.045, 4778, 0.008, 97453, 0.154, 181630.0, 0.287, -16333, -0.026, 98026.4, 0.155
'MUSCLE_diversified_replicate.none.204.afa', 33490.0, 0.056, 28674, 0.048, 4718, 0.008, 97593, 0.164, 181448.0, 0.305, -15902, -0.027, 98847.4, 0.166
'MUSCLE_diversified_replicate.none.208.afa', 31908.0, 0.064, 33492, 0.068, 4686, 0.009, 91121, 0.184, 173326.0, 0.349, -23817, -0.048, 84424.8, 0.17
'MUSCLE_diversified_replicate.none.212.afa', 31753.0, 0.052, 33549, 0.054, 4745, 0.008, 91317, 0.148, 172317.0, 0.28, -23086, -0.037, 83517.6, 0.136
'MUSCLE_diversified_replicate.none.216.afa', 31740.0, 0.052, 33431, 0.055, 4765, 0.008, 91579, 0.151, 172533.0, 0.284, -23373, -0.038, 83194.2, 0.137
'MUSCLE_diversified_replicate.none.220.afa', 31812.0, 0.055, 33365, 0.057, 4758, 0.008, 91567, 0.157, 172792.0, 0.296, -24083, -0.041, 82815.6, 0.142
'MUSCLE_diversified_replicate.none.224.afa', 31953.0, 0.062, 33557, 0.065, 4704, 0.009, 90901, 0.177, 173516.0, 0.338, -23188, -0.045, 85107.8, 0.166
'MUSCLE_diversified_replicate.none.228.afa', 32872.0, 0.06, 29195, 0.053, 4724, 0.009, 97787, 0.177, 178129.0, 0.323, -17564, -0.032, 93767.6, 0.17
'MUSCLE_diversified_replicate.none.232.afa', 33521.0, 0.058, 28722, 0.049, 4689, 0.008, 97435, 0.167, 181723.0, 0.312, -16207, -0.028, 99139.0, 0.17
'MUSCLE_diversified_replicate.none.236.afa', 31979.0, 0.053, 33299, 0.055, 4740, 0.008, 91365, 0.152, 173576.0, 0.289, -23087, -0.038, 84816.0, 0.141
'MUSCLE_diversified_replicate.none.24.afa', 33428.0, 0.054, 28499, 0.046, 4876, 0.008, 98067, 0.159, 181509.0, 0.293, -16062, -0.026, 97073.6, 0.157
'MUSCLE_diversified_replicate.none.240.afa', 33564.0, 0.058, 28614, 0.049, 4720, 0.008, 97565, 0.168, 182001.0, 0.313, -15568, -0.027, 99720.0, 0.171
'MUSCLE_diversified_replicate.none.244.afa', 31745.0, 0.054, 33473, 0.057, 4687, 0.008, 91485, 0.156, 172478.0, 0.295, -23290, -0.04, 84021.0, 0.143
'MUSCLE_diversified_replicate.none.248.afa', 32074.0, 0.054, 33142, 0.056, 4760, 0.008, 91489, 0.154, 173924.0, 0.293, -22736, -0.038, 85290.2, 0.144
'MUSCLE_diversified_replicate.none.252.afa', 33576.0, 0.058, 28603, 0.049, 4738, 0.008, 97563, 0.168, 182063.0, 0.313, -16080, -0.028, 99090.4, 0.17
'MUSCLE_diversified_replicate.none.256.afa', 33507.0, 0.058, 28698, 0.05, 4665, 0.008, 97511, 0.169, 181687.0, 0.316, -15793, -0.027, 99741.8, 0.173
