code,taxa_num,msa_length,ssp_from_true,dseq_from_true,dpos_from_true,constant_sites_pct,n_unique_sites,entropy_mean,entropy_25_pct,entropy_75_pct,entropy_sum,entropy_max,num_gap_segments_norm,av_gap_segment_length,gaps_len_one,gaps_len_two,gaps_len_three,gaps_len_four_plus,num_unique_gaps,num_unique_gaps_norm,avg_unique_gap_length,gaps_1seq_len1,gaps_2seq_len1,gaps_1seq_len2,gaps_2seq_len2,gaps_1seq_len3,gaps_2seq_len3,gaps_1seq_len4plus,gaps_2seq_len4plus,gaps_all_except_1_len1,gaps_all_except_1_len2,gaps_all_except_1_len3,gaps_all_except_1_len4plus,num_cols_no_gaps,num_cols_1_gap,num_cols_2_gaps,num_cols_all_gaps_except1,single_char_count,double_char_count,seq_max_len,seq_min_len,k_mer_max_K5,k_mer_average_K5,k_mer_95_pct_K5,k_mer_90_pct_K5,kmer_sum_of_top_10_K5,k_mer_max_K10,k_mer_average_K10,k_mer_95_pct_K10,k_mer_90_pct_K10,kmer_sum_of_top_10_K10,k_mer_max_K20,k_mer_average_K20,k_mer_95_pct_K20,k_mer_90_pct_K20,kmer_sum_of_top_10_K20,bl_sum,bl_mean,bl_25_pct,bl_75_pct,bl_max,bl_min,parsimony_mean,parsimony_sum,parsimony_max,parsimony_min,parsimony_25_pct,parsimony_75_pct,sp_match_count,sp_match_count_norm,sp_mismatch_count,sp_mismatch_count_norm,sp_go,sp_go_norm,sp_ge,sp_ge_norm,sp_match_BLOSUM62,sp_match_norm_BLOSUM62,sp_mismatch_BLOSUM62,sp_mismatch_norm_BLOSUM62,sp_BLOSUM62_GO_-10_GE_-0.5,sp_norm_BLOSUM62_GO_-10_GE_-0.5,sp_BLOSUM62_GO_-6_GE_-0.5,sp_norm_BLOSUM62_GO_-6_GE_-0.5,sp_BLOSUM62_GO_-10_GE_-1,sp_norm_BLOSUM62_GO_-10_GE_-1,sp_BLOSUM62_GO_-6_GE_-1,sp_norm_BLOSUM62_GO_-6_GE_-1,sp_BLOSUM62_GO_-10_GE_-0.2,sp_norm_BLOSUM62_GO_-10_GE_-0.2,sp_BLOSUM62_GO_-6_GE_-0.2,sp_norm_BLOSUM62_GO_-6_GE_-0.2,sp_match_PAM250,sp_match_norm_PAM250,sp_mismatch_PAM250,sp_mismatch_norm_PAM250,sp_PAM250_GO_-10_GE_-0.5,sp_norm_PAM250_GO_-10_GE_-0.5,sp_PAM250_GO_-6_GE_-0.5,sp_norm_PAM250_GO_-6_GE_-0.5,sp_PAM250_GO_-10_GE_-1,sp_norm_PAM250_GO_-10_GE_-1,sp_PAM250_GO_-6_GE_-1,sp_norm_PAM250_GO_-6_GE_-1,sp_PAM250_GO_-10_GE_-0.2,sp_norm_PAM250_GO_-10_GE_-0.2,sp_PAM250_GO_-6_GE_-0.2,sp_norm_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.5,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.5,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.5,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-1,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-1,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_BLOSUM62_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_BLOSUM62_GO_-6_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-0.5,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-0.5,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.5,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.5,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.5,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-1,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-1,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-1,sp_HENIKOFF_with_gaps_PAM250_GO_-10_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-10_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-10_GE_-0.2,sp_HENIKOFF_with_gaps_PAM250_GO_-6_GE_-0.2,sp_HENIKOFF_without_gaps_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_mid_root_PAM250_GO_-6_GE_-0.2,sp_CLUSTAL_WEIGHTS_diff_sum_PAM250_GO_-6_GE_-0.2,
MAFFT_b0#0069_htH_tree_73_OP_2.973262473304242_Split_69.fasta,50,387,0.000,0.092,0.000,0.496,304,0.508,0.000,0.783,196.543,2.606,8.300,35.713,0.760,0.740,0.020,6.780,49,0.980,86.816,1,0,1,1,1,0,46,8,0,0,0,0,0,0,0,78,11,39,280,2,13350,5.228,3,2,13669,11868,3.390,2,1,12170,9362,2.287,2,1,9577,5.383,0.055,0.018,0.054,0.669,0.002,5.362,2075.000,35.000,1.000,1.000,7.000,32164,0.068,28684,0.061,4698,0.010,100225,0.211,174125.000,0.367,-17044.000,-0.036,59988.500,0.127,78780.500,0.166,9876.000,0.021,28668.000,0.060,90056.000,0.190,108848.000,0.230,164289.000,0.347,-5410.000,-0.011,61786.500,0.130,80578.500,0.170,11674.000,0.025,30466.000,0.064,91854.000,0.194,110646.000,0.233,17.186,23.468,10.138,19.103,27.324,34.449,19.343,29.859,-13.451,-9.579,-17.414,-15.528,-3.314,1.401,-8.209,-4.772,35.568,43.297,26.670,39.882,45.706,54.277,35.874,50.637,18.619,25.066,11.353,20.395,28.757,36.046,20.558,31.151,-12.018,-7.982,-16.199,-14.236,-1.880,2.999,-6.994,-3.480,37.002,44.894,27.884,41.174,47.139,55.875,37.089,51.930,
MAFFT_b0#0069_htT_tree_20_OP_2.4221981553992458_Split_69.fasta,50,414,0.000,0.167,0.000,0.483,311,0.524,0.000,0.927,217.143,2.662,8.240,39.250,0.760,0.120,0.000,7.360,66,1.320,76.000,2,0,1,1,0,0,63,2,0,0,0,0,0,0,0,120,6,37,280,2,14649,5.515,3,2,15019,12926,3.594,2,1,13280,9997,2.382,2,1,10281,5.202,0.054,0.017,0.056,0.559,0.003,5.428,2247.000,35.000,1.000,1.000,8.000,29545,0.058,30339,0.060,5095,0.010,102153,0.201,161039.000,0.318,-19023.000,-0.038,39989.500,0.079,60369.500,0.119,-11087.000,-0.022,9293.000,0.018,70635.400,0.139,91015.400,0.179,152667.000,0.301,-8249.000,-0.016,42391.500,0.084,62771.500,0.124,-8685.000,-0.017,11695.000,0.023,73037.400,0.144,93417.400,0.184,8.382,12.391,9.617,9.694,19.722,24.851,19.788,22.008,-22.004,-20.404,-17.502,-24.435,-10.663,-7.943,-7.331,-12.120,26.613,32.068,25.889,30.171,37.954,44.528,36.060,42.485,9.919,14.034,10.798,11.213,21.260,26.494,20.969,23.527,-20.467,-18.761,-16.322,-22.916,-9.126,-6.301,-6.151,-10.601,28.150,33.710,27.069,31.690,39.491,46.171,37.240,44.004,
MAFFT_b0#0069_htT_tree_73_OP_2.973262473304242_Split_69.fasta,50,387,0.000,0.092,0.000,0.496,304,0.508,0.000,0.783,196.543,2.606,8.300,35.713,0.760,0.740,0.020,6.780,49,0.980,86.816,1,0,1,1,1,0,46,8,0,0,0,0,0,0,0,78,11,39,280,2,13350,5.228,3,2,13669,11868,3.390,2,1,12170,9362,2.287,2,1,9577,5.383,0.055,0.018,0.054,0.669,0.002,5.362,2075.000,35.000,1.000,1.000,7.000,32164,0.068,28684,0.061,4698,0.010,100225,0.211,174125.000,0.367,-17044.000,-0.036,59988.500,0.127,78780.500,0.166,9876.000,0.021,28668.000,0.060,90056.000,0.190,108848.000,0.230,164289.000,0.347,-5410.000,-0.011,61786.500,0.130,80578.500,0.170,11674.000,0.025,30466.000,0.064,91854.000,0.194,110646.000,0.233,17.186,23.468,10.138,19.103,27.324,34.449,19.343,29.859,-13.451,-9.579,-17.414,-15.528,-3.314,1.401,-8.209,-4.772,35.568,43.297,26.670,39.882,45.706,54.277,35.874,50.637,18.619,25.066,11.353,20.395,28.757,36.046,20.558,31.151,-12.018,-7.982,-16.199,-14.236,-1.880,2.999,-6.994,-3.480,37.002,44.894,27.884,41.174,47.139,55.875,37.089,51.930,
MAFFT_b0#0069_thH_tree_20_OP_2.4221981553992458_Split_69.fasta,50,414,0.000,0.166,0.000,0.483,311,0.524,0.000,0.927,217.130,2.662,8.240,39.250,0.760,0.120,0.000,7.360,65,1.300,76.985,2,0,1,1,0,0,62,2,0,0,0,0,0,0,0,120,6,38,280,2,14649,5.521,3,2,15020,12926,3.600,2,1,13281,9997,2.386,2,1,10281,5.201,0.054,0.017,0.057,0.559,0.003,5.425,2246.000,35.000,1.000,1.000,8.000,29574,0.058,30346,0.060,5027,0.010,102081,0.201,161153.000,0.318,-19025.000,-0.038,40817.500,0.080,60925.500,0.120,-10223.000,-0.020,9885.000,0.019,71441.800,0.141,91549.800,0.181,152723.000,0.301,-8250.000,-0.016,43162.500,0.085,63270.500,0.125,-7878.000,-0.016,12230.000,0.024,73786.800,0.145,93894.800,0.185,8.784,12.810,9.944,10.027,19.995,25.138,20.013,22.241,-21.588,-19.969,-17.164,-24.089,-10.376,-7.641,-7.094,-11.875,27.006,32.478,26.208,30.497,38.218,44.806,36.278,42.710,10.296,14.428,11.105,11.529,21.507,26.756,21.174,23.743,-20.075,-18.352,-16.003,-22.587,-8.864,-6.024,-5.933,-10.373,28.519,34.096,27.369,31.999,39.730,46.424,37.439,44.212,
MAFFT_b0#0069_thH_tree_73_OP_2.973262473304242_Split_69.fasta,50,387,0.000,0.092,0.000,0.501,304,0.506,0.000,0.772,195.914,2.606,8.200,36.149,0.700,0.740,0.020,6.740,49,0.980,86.816,1,0,1,1,1,0,46,7,0,0,0,0,0,0,0,77,9,38,280,2,13361,5.201,3,2,13676,11889,3.399,2,1,12192,9400,2.297,2,1,9615,5.404,0.056,0.018,0.055,0.672,0.002,5.432,2102.000,35.000,1.000,1.000,7.000,32110,0.068,28886,0.061,4685,0.010,99929,0.211,173859.000,0.367,-17189.000,-0.036,59855.500,0.126,78595.500,0.166,9891.000,0.021,28631.000,0.060,89834.200,0.189,108574.200,0.229,164123.000,0.346,-5470.000,-0.012,61838.500,0.130,80578.500,0.170,11874.000,0.025,30614.000,0.065,91817.200,0.194,110557.200,0.233,16.729,22.913,10.047,18.855,26.785,33.788,19.080,29.621,-13.908,-10.152,-17.278,-15.907,-3.853,0.723,-8.244,-5.141,35.112,42.752,26.442,39.712,45.167,53.627,35.475,50.478,18.269,24.628,11.384,20.248,28.325,35.503,20.417,31.014,-12.368,-8.437,-15.941,-14.514,-2.313,2.438,-6.908,-3.748,36.652,44.467,27.779,41.105,46.707,55.343,36.812,51.871,
MAFFT_b0#0069_thT_tree_20_OP_2.4221981553992458_Split_69.fasta,50,414,0.000,0.166,0.000,0.483,311,0.524,0.000,0.927,217.130,2.662,8.240,39.250,0.760,0.120,0.000,7.360,65,1.300,76.985,2,0,1,1,0,0,62,2,0,0,0,0,0,0,0,120,6,38,280,2,14649,5.521,3,2,15020,12926,3.600,2,1,13281,9997,2.386,2,1,10281,5.201,0.054,0.017,0.057,0.559,0.003,5.425,2246.000,35.000,1.000,1.000,8.000,29574,0.058,30346,0.060,5027,0.010,102081,0.201,161153.000,0.318,-19025.000,-0.038,40817.500,0.080,60925.500,0.120,-10223.000,-0.020,9885.000,0.019,71441.800,0.141,91549.800,0.181,152723.000,0.301,-8250.000,-0.016,43162.500,0.085,63270.500,0.125,-7878.000,-0.016,12230.000,0.024,73786.800,0.145,93894.800,0.185,8.784,12.810,9.944,10.027,19.995,25.138,20.013,22.241,-21.588,-19.969,-17.164,-24.089,-10.376,-7.641,-7.094,-11.875,27.006,32.478,26.208,30.497,38.218,44.806,36.278,42.710,10.296,14.428,11.105,11.529,21.507,26.756,21.174,23.743,-20.075,-18.352,-16.003,-22.587,-8.864,-6.024,-5.933,-10.373,28.519,34.096,27.369,31.999,39.730,46.424,37.439,44.212,
MAFFT_b0#0069_ttH_tree_73_OP_2.973262473304242_Split_69.fasta,50,387,0.000,0.092,0.000,0.496,304,0.508,0.000,0.783,196.543,2.606,8.300,35.713,0.760,0.740,0.020,6.780,49,0.980,86.816,1,0,1,1,1,0,46,8,0,0,0,0,0,0,0,78,11,39,280,2,13350,5.228,3,2,13669,11868,3.390,2,1,12170,9362,2.287,2,1,9577,5.383,0.055,0.018,0.054,0.669,0.002,5.362,2075.000,35.000,1.000,1.000,7.000,32164,0.068,28684,0.061,4698,0.010,100225,0.211,174125.000,0.367,-17044.000,-0.036,59988.500,0.127,78780.500,0.166,9876.000,0.021,28668.000,0.060,90056.000,0.190,108848.000,0.230,164289.000,0.347,-5410.000,-0.011,61786.500,0.130,80578.500,0.170,11674.000,0.025,30466.000,0.064,91854.000,0.194,110646.000,0.233,17.186,23.468,10.138,19.103,27.324,34.449,19.343,29.859,-13.451,-9.579,-17.414,-15.528,-3.314,1.401,-8.209,-4.772,35.568,43.297,26.670,39.882,45.706,54.277,35.874,50.637,18.619,25.066,11.353,20.395,28.757,36.046,20.558,31.151,-12.018,-7.982,-16.199,-14.236,-1.880,2.999,-6.994,-3.480,37.002,44.894,27.884,41.174,47.139,55.875,37.089,51.930,
MAFFT_b0#0070_hhH_tree_86_OP_1.7393056698625855_Split_70.fasta,50,411,0.000,0.110,0.000,0.538,318,0.476,0.000,0.693,195.774,2.609,9.360,34.233,0.100,0.720,0.580,7.960,58,1.160,83.793,0,0,3,0,0,0,55,9,0,0,0,0,0,0,0,100,6,53,280,2,14265,5.534,4,3,14617,12490,3.487,3,2,12789,9935,2.299,2,1,10170,5.145,0.053,0.015,0.058,0.661,0.001,5.197,2136.000,34.000,1.000,1.000,7.000,31782,0.063,27059,0.054,5250,0.010,104239,0.207,172537.000,0.343,-14247.000,-0.028,53670.500,0.107,74670.500,0.148,1551.000,0.003,22551.000,0.045,84942.200,0.169,105942.200,0.210,162500.000,0.323,-3533.000,-0.007,54347.500,0.108,75347.500,0.150,2228.000,0.004,23228.000,0.046,85619.200,0.170,106619.200,0.212,16.448,22.686,11.301,16.768,27.897,35.193,21.819,29.228,-14.789,-11.129,-17.005,-17.966,-3.340,1.378,-6.487,-5.506,35.190,42.975,28.284,37.608,46.639,55.482,38.802,50.068,17.342,23.798,11.603,17.542,28.792,36.305,22.121,30.003,-13.895,-10.018,-16.703,-17.192,-2.446,2.490,-6.184,-4.731,36.085,44.087,28.586,38.382,47.534,56.594,39.104,50.843,
MAFFT_b0#0070_hhT_tree_17_OP_1.818409912056766_Split_70.fasta,50,409,0.000,0.132,0.000,0.499,302,0.501,0.000,0.868,205.025,2.675,9.720,32.759,0.760,1.400,0.020,7.540,64,1.280,76.531,1,0,1,1,1,0,61,10,0,0,0,0,0,0,0,120,10,46,280,2,14232,5.433,4,2,14581,12617,3.511,2,2,12915,10072,2.368,2,1,10294,5.075,0.052,0.017,0.057,0.674,0.003,5.198,2126.000,36.000,1.000,1.000,7.000,31256,0.062,27966,0.056,5194,0.010,103477,0.207,170094.000,0.339,-14722.000,-0.029,51693.500,0.103,72469.500,0.145,-45.000,-0.000,20731.000,0.041,82736.600,0.165,103512.600,0.207,160480.000,0.320,-3427.000,-0.007,53374.500,0.107,74150.500,0.148,1636.000,0.003,22412.000,0.045,84417.600,0.168,105193.600,0.210,12.328,18.038,8.100,12.830,24.003,30.841,18.832,25.232,-19.723,-16.398,-20.532,-22.559,-8.048,-3.594,-9.800,-10.157,31.559,38.699,25.279,34.063,43.234,51.503,36.011,46.465,14.331,20.534,9.066,14.811,26.006,33.338,19.797,27.213,-17.720,-13.901,-19.566,-20.578,-6.045,-1.098,-8.834,-8.176,33.561,41.196,26.245,36.044,45.237,53.999,36.976,48.446,
MAFFT_b0#0070_htH_tree_86_OP_1.7393056698625855_Split_70.fasta,50,403,0.000,0.116,0.000,0.531,312,0.489,0.000,0.693,196.925,2.609,9.340,33.450,0.820,0.720,0.600,7.200,59,1.180,81.068,0,0,3,0,1,0,55,8,0,0,0,0,0,0,0,92,9,27,280,2,13978,5.396,4,2,14315,12391,3.473,2,2,12677,9839,2.328,2,1,10074,5.275,0.054,0.017,0.058,0.649,0.001,5.337,2151.000,33.000,1.000,1.000,7.000,31671,0.064,27447,0.056,5253,0.011,103685,0.210,171707.000,0.348,-14760.000,-0.030,52574.500,0.106,73586.500,0.149,732.000,0.001,21744.000,0.044,83680.000,0.170,104692.000,0.212,161745.000,0.328,-3593.000,-0.007,53779.500,0.109,74791.500,0.151,1937.000,0.004,22949.000,0.046,84885.000,0.172,105897.000,0.215,15.585,21.696,12.896,15.225,26.970,34.090,23.419,27.586,-15.403,-11.763,-15.434,-19.602,-4.018,0.631,-4.911,-7.241,34.178,41.772,29.894,36.122,45.563,54.165,40.416,48.483,17.010,23.449,13.868,16.689,28.395,35.842,24.391,29.050,-13.978,-10.010,-14.462,-18.139,-2.593,2.383,-3.939,-5.778,35.603,43.524,30.866,37.585,46.988,55.918,41.389,49.946,
MAFFT_b0#0070_thH_tree_17_OP_1.818409912056766_Split_70.fasta,50,409,0.000,0.132,0.000,0.499,302,0.502,0.000,0.868,205.193,2.675,9.720,32.759,0.760,1.400,0.020,7.540,64,1.280,76.531,1,0,1,1,1,0,61,10,0,0,0,0,0,0,0,120,9,47,280,2,14232,5.466,4,2,14585,12617,3.504,2,1,12914,10072,2.366,2,1,10293,5.082,0.052,0.017,0.056,0.695,0.003,5.174,2116.000,36.000,1.000,1.000,7.000,31330,0.063,27964,0.056,5194,0.010,103333,0.206,170464.000,0.340,-14714.000,-0.029,52143.500,0.104,72919.500,0.146,477.000,0.001,21253.000,0.042,83143.400,0.166,103919.400,0.207,160776.000,0.321,-3423.000,-0.007,53746.500,0.107,74522.500,0.149,2080.000,0.004,22856.000,0.046,84746.400,0.169,105522.400,0.211,12.839,18.668,8.424,12.656,24.513,31.473,19.181,25.100,-19.141,-15.688,-20.387,-22.834,-7.467,-2.883,-9.630,-10.390,32.027,39.281,25.710,33.950,43.701,52.086,36.467,46.394,14.759,21.064,9.336,14.476,26.433,33.869,20.093,26.920,-17.221,-13.292,-19.475,-21.014,-5.547,-0.487,-8.717,-8.571,33.947,41.677,26.622,35.770,45.621,54.482,37.380,48.214,
MAFFT_b0#0070_thH_tree_86_OP_1.7393056698625855_Split_70.fasta,50,411,0.000,0.110,0.000,0.538,318,0.476,0.000,0.693,195.774,2.609,9.360,34.233,0.100,0.720,0.580,7.960,58,1.160,83.793,0,0,3,0,0,0,55,9,0,0,0,0,0,0,0,100,6,53,280,2,14265,5.534,4,3,14617,12490,3.487,3,2,12789,9935,2.299,2,1,10170,5.145,0.053,0.015,0.058,0.661,0.001,5.197,2136.000,34.000,1.000,1.000,7.000,31782,0.063,27059,0.054,5250,0.010,104239,0.207,172537.000,0.343,-14247.000,-0.028,53670.500,0.107,74670.500,0.148,1551.000,0.003,22551.000,0.045,84942.200,0.169,105942.200,0.210,162500.000,0.323,-3533.000,-0.007,54347.500,0.108,75347.500,0.150,2228.000,0.004,23228.000,0.046,85619.200,0.170,106619.200,0.212,16.448,22.686,11.301,16.768,27.897,35.193,21.819,29.228,-14.789,-11.129,-17.005,-17.966,-3.340,1.378,-6.487,-5.506,35.190,42.975,28.284,37.608,46.639,55.482,38.802,50.068,17.342,23.798,11.603,17.542,28.792,36.305,22.121,30.003,-13.895,-10.018,-16.703,-17.192,-2.446,2.490,-6.184,-4.731,36.085,44.087,28.586,38.382,47.534,56.594,39.104,50.843,
MAFFT_b0#0070_ttH_tree_17_OP_1.818409912056766_Split_70.fasta,50,409,0.000,0.132,0.000,0.499,302,0.502,0.000,0.868,205.193,2.675,9.700,32.827,0.760,1.380,0.020,7.540,64,1.280,76.562,1,0,1,1,1,0,61,10,0,0,0,0,0,0,0,120,8,18,280,2,14234,5.463,4,2,14587,12619,3.504,2,1,12916,10074,2.367,2,1,10295,5.082,0.052,0.017,0.056,0.695,0.003,5.174,2116.000,36.000,1.000,1.000,7.000,31330,0.063,27964,0.056,5193,0.010,103333,0.206,170464.000,0.340,-14714.000,-0.029,52153.500,0.104,72925.500,0.146,487.000,0.001,21259.000,0.042,83153.400,0.166,103925.400,0.207,160776.000,0.321,-3423.000,-0.007,53756.500,0.107,74528.500,0.149,2090.000,0.004,22862.000,0.046,84756.400,0.169,105528.400,0.211,12.841,18.668,8.428,12.658,24.514,31.473,19.184,25.101,-19.139,-15.687,-20.382,-22.832,-7.466,-2.882,-9.627,-10.389,32.029,39.282,25.715,33.952,43.702,52.087,36.470,46.395,14.761,21.064,9.341,14.478,26.434,33.869,20.096,26.921,-17.219,-13.291,-19.470,-21.013,-5.546,-0.486,-8.714,-8.570,33.949,41.678,26.627,35.772,45.622,54.483,37.383,48.215,
MAFFT_b0#0070_ttT_tree_17_OP_1.818409912056766_Split_70.fasta,50,409,0.000,0.132,0.000,0.499,302,0.502,0.000,0.868,205.193,2.675,9.700,32.827,0.760,1.380,0.020,7.540,64,1.280,76.562,1,0,1,1,1,0,61,10,0,0,0,0,0,0,0,120,8,18,280,2,14234,5.463,4,2,14587,12619,3.504,2,1,12916,10074,2.367,2,1,10295,5.082,0.052,0.017,0.056,0.695,0.003,5.174,2116.000,36.000,1.000,1.000,7.000,31330,0.063,27964,0.056,5193,0.010,103333,0.206,170464.000,0.340,-14714.000,-0.029,52153.500,0.104,72925.500,0.146,487.000,0.001,21259.000,0.042,83153.400,0.166,103925.400,0.207,160776.000,0.321,-3423.000,-0.007,53756.500,0.107,74528.500,0.149,2090.000,0.004,22862.000,0.046,84756.400,0.169,105528.400,0.211,12.841,18.668,8.428,12.658,24.514,31.473,19.184,25.101,-19.139,-15.687,-20.382,-22.832,-7.466,-2.882,-9.627,-10.389,32.029,39.282,25.715,33.952,43.702,52.087,36.470,46.395,14.761,21.064,9.341,14.478,26.434,33.869,20.096,26.921,-17.219,-13.291,-19.470,-21.013,-5.546,-0.486,-8.714,-8.570,33.949,41.678,26.627,35.772,45.622,54.483,37.383,48.215,
MAFFT_b0#0070_ttT_tree_86_OP_1.7393056698625855_Split_70.fasta,50,403,0.000,0.116,0.000,0.531,312,0.489,0.000,0.693,196.925,2.609,9.340,33.450,0.820,0.720,0.600,7.200,59,1.180,81.068,0,0,3,0,1,0,55,8,0,0,0,0,0,0,0,92,9,27,280,2,13978,5.396,4,2,14315,12391,3.473,2,2,12677,9839,2.328,2,1,10074,5.275,0.054,0.017,0.058,0.649,0.001,5.337,2151.000,33.000,1.000,1.000,7.000,31671,0.064,27447,0.056,5253,0.011,103685,0.210,171707.000,0.348,-14760.000,-0.030,52574.500,0.106,73586.500,0.149,732.000,0.001,21744.000,0.044,83680.000,0.170,104692.000,0.212,161745.000,0.328,-3593.000,-0.007,53779.500,0.109,74791.500,0.151,1937.000,0.004,22949.000,0.046,84885.000,0.172,105897.000,0.215,15.585,21.696,12.896,15.225,26.970,34.090,23.419,27.586,-15.403,-11.763,-15.434,-19.602,-4.018,0.631,-4.911,-7.241,34.178,41.772,29.894,36.122,45.563,54.165,40.416,48.483,17.010,23.449,13.868,16.689,28.395,35.842,24.391,29.050,-13.978,-10.010,-14.462,-18.139,-2.593,2.383,-3.939,-5.778,35.603,43.524,30.866,37.585,46.988,55.918,41.389,49.946,
MAFFT_b0#0071_thH_tree_83_OP_1.1196527601502904_Split_71.fasta,50,403,0.000,0.081,0.000,0.536,308,0.452,0.000,0.693,182.034,2.593,10.240,30.510,0.280,0.180,0.620,9.160,74,1.480,54.095,2,1,6,0,2,0,64,12,0,0,0,0,0,0,0,94,20,57,280,2,13664,5.454,4,3,14079,11849,3.343,3,2,12165,9332,2.202,2,1,9579,5.147,0.053,0.014,0.059,0.562,0.003,5.211,2100.000,33.000,1.000,1.000,7.000,33767,0.068,26746,0.054,6104,0.012,100895,0.204,183295.000,0.371,-12017.000,-0.024,59790.500,0.121,84206.500,0.171,9343.000,0.019,33759.000,0.068,90059.000,0.182,114475.000,0.232,173168.000,0.351,-887.000,-0.002,60793.500,0.123,85209.500,0.173,10346.000,0.021,34762.000,0.070,91062.000,0.184,115478.000,0.234,18.907,26.550,14.116,20.103,32.169,40.995,25.988,34.623,-12.294,-7.281,-12.962,-14.888,0.968,7.164,-1.090,-0.368,37.627,46.849,30.362,41.097,50.890,61.293,42.234,55.617,19.406,26.951,14.572,20.134,32.668,41.396,26.444,34.654,-11.795,-6.880,-12.505,-14.856,1.467,7.565,-0.633,-0.336,38.126,47.250,30.818,41.128,51.389,61.695,42.690,55.648,
